Cruise,Gear,Station,Fish,Length ,Comment
GU1608,6B3Z,224,1,3.44,no eye
GU1608,6B3Z,229,1,3.26,no eye
GU1608,6B3Z,229,2,6.03,
GU1608,6B3Z,229,3,2.97,
GU1608,6B3Z,231,1,3.44,head damaged
GU1608,6B3Z,234,1,3.18,
GU1608,6B3Z,234,2,3.9,
GU1608,6B3Z,234,3,3.47,
GU1608,6B3Z,234,4,3.82,
GU1608,6B3Z,234,5,2.94,
GU1608,6B3Z,234,6,3.65,Uncertain ID
GU1608,6B3Z,235,1,3.83,
GU1608,6B3Z,235,2,2.97,
GU1608,6B3Z,235,3,4.07,
GU1608,6B3Z,235,4,5.58,
GU1608,6B3Z,235,5,3.85,
GU1608,6B3Z,235,6,3.96,
GU1608,6B3Z,235,7,3.98,
GU1608,6B3Z,235,8,3.77,
GU1608,6B3Z,235,9,4.01,
GU1608,6B3Z,235,10,3.97,
GU1608,6B3Z,235,11,4.35,
GU1608,6B3Z,235,12,3.49,
GU1608,6B3Z,235,13,2.87,
GU1608,6B3Z,235,14,3.34,
GU1608,6B3Z,235,15,3.91,
GU1608,6B3Z,235,16,4.2,
GU1608,6B3Z,235,17,3.89,
GU1608,6B3Z,235,18,3.65,
GU1608,6B3Z,235,19,3.87,Broken in half w chaetognath
GU1608,6B3Z,236,1,3.53,
GU1608,6B3Z,236,2,2.95,
GU1608,6B3Z,236,3,3.13,
GU1608,6B3Z,236,4,2.91,
GU1608,6B3Z,236,5,2.53,
GU1608,6B3Z,236,6,3.59,
GU1608,6B3Z,236,7,3.41,
GU1608,6B3Z,236,8,3.11,
HB1603,2N3,51,1,4.99,
HB1603,2N3,51,2,4.42,Re look at
HB1603,2N3,51,3,5.49,damaged use?
HB1603,2N3,51,4,3.85,
HB1603,2N3,51,5,3.7,
HB1603,2N3,51,6,3.63,
HB1603,2N3,51,7,4.11,
HB1603,2N3,51,8,3.47,
HB1603,2N3,51,9,4.61,
HB1603,2N3,51,10,3.74,
HB1603,2N3,51,11,4.03,
HB1603,2N3,51,12,3.85,
HB1603,2N3,51,13,4.02,
HB1603,2N3,51,14,3.29,
HB1603,2N3,51,15,4.05,Tentative
HB1603,2N3,50,1,4.08,
HB1603,2N3,50,2,4.35,
HB1603,2N3,50,3,4.4,
HB1603,2N3,50,4,4.23,
HB1603,2N3,50,5,3.77,
HB1603,2N3,50,6,3.93,
HB1603,2N3,50,7,3.55,
HB1603,2N3,50,8,4.83,
HB1603,2N3,50,9,3.58,
HB1603,2N3,50,10,4.1,
HB1603,2N3,50,11,3.54,
HB1603,2N3,50,12,3.59,
HB1603,2N3,50,13,4.2,
HB1603,2N3,50,14,3.84,
HB1603,2N3,50,15,3.95,degraded
HB1603,2N3,50,16,4.33,
HB1603,2N3,50,17,3.47,
HB1603,2N3,50,18,3.88,
HB1603,2N3,50,19,3.83,
HB1603,2N3,50,20,4.7,
HB1603,2N3,50,21,3.37,
HB1603,2N3,50,22,4.29,
HB1603,2N3,50,23,4.08,
HB1603,2N3,50,24,4.29,
HB1603,2N3,50,25,4.3,
HB1603,2N3,50,26,2.12,Yolk-sac
HB1603,2N3,50,27,4.17,
HB1603,2N3,50,28,4.08,
HB1603,2N3,50,29,4.03,
HB1603,2N3,50,30,4.56,
HB1603,2N3,50,31,4.66,
HB1603,2N3,50,32,4.31,
HB1603,2N3,50,33,4.13,
HB1603,2N3,50,34,3.63,
HB1603,2N3,50,35,3.3,
HB1603,2N3,50,36,3.7,
HB1603,2N3,50,37,4.13,
HB1603,2N3,50,38,3.23,
HB1603,2N3,50,39,4.66,
HB1603,2N3,50,40,4.02,
HB1603,2N3,50,41,4.12,
HB1603,2N3,50,42,4.09,
HB1603,2N3,50,43,3.84,
HB1603,2N3,50,44,4.01,
HB1603,2N3,50,45,3.3,
HB1603,2N3,50,46,3.34,
HB1603,2N3,50,47,4.39,
HB1603,2N3,50,48,3.95,
HB1603,2N3,51,16,3.78,resort
HB1603,2N3,51,17,4.1,resort
HB1603,2N3,51,18,3.2,resort
HB1603,2N3,51,19,4,resort
HB1603,2N3,51,20,4.4,resort
HB1603,2N3,50,49,3.37,resort
GU1608,2B1,234,1,3.79,
GU1608,2B1,234,2,3.5,
GU1608,2B1,235,1,3.67,
GU1608,2B1,236,1,3.35,
GU1608,2B1,236,2,3.67,
GU1608,2B1,236,3,3.67,
HB1603,2N3,17,1,4.55,
HB1603,2N3,17,2,4.71,
HB1603,2n3,17,3,5.93,
GU1608,6B3Z,234,7,3.5,resort
GU1608,6B3Z,234,8,3.23,resort
GU1608,6B3Z,235,20,6.56,
HB1603,2N3,21,3,5.35,
HB1603,2N3,21,4,4.47,
