cruiseid,event time,lat,lon,siteid
GU1608,6/18/16 11:10,3936,7117.9,218
GU1608,6/18/16 13:28,3915.9,7117.9,219
GU1608,6/18/16 15:44,3856,7118.2,220
GU1608,6/18/16 17:58,3836,7118.3,221
GU1608,6/18/16 19:09,3827.6,7120.7,222
GU1608,6/18/16 20:17,3819.5,7122.8,223
GU1608,6/18/16 21:31,3810.8,7125,224
GU1608,6/18/16 22:51,3802.4,7126.9,225
GU1608,6/19/16 0:35,3753.9,7130.3,226
GU1608,6/19/16 2:47,3753.1,7142.7,227
GU1608,6/19/16 6:45,3751.6,7208.4,228
GU1608,6/19/16 6:45,3751.6,7208.4,228
GU1608,6/19/16 9:37,3749.6,7234.3,228
GU1608,6/19/16 12:02,3748,7260,230
GU1608,6/19/16 9:37,3749.6,7234.3,229
GU1608,6/19/16 14:09,3728.9,7307,231
GU1608,6/19/16 16:49,3709.7,7314.4,232
GU1608,6/19/16 18:53,3700.1,7318.1,233
GU1608,6/19/16 20:58,3700,7330,234
GU1608,6/19/16 22:44,3700.1,7341.9,235
GU1608,6/20/16 0:22,3700.1,7353.9,236
GU1608,6/20/16 1:32,3653,7355.8,237
GU1608,6/20/16 2:46,3646.1,7357.6,238
GU1608,6/20/16 4:41,3639,7409.1,239
GU1608,6/20/16 5:49,3638.9,7418.1,240
GU1608,6/20/16 6:56,3638.9,7427.1,241
HB1603,6/29/16 9:01,3942.6,7214.7,8
HB1603,6/30/16 8:58,3901.3,7141.3,13
HB1603,7/1/16 9:05,3723.5,7156.2,19
HB1603,7/2/16 8:43,3817.2,7358.9,23
HB1603,7/3/16 9:01,3837.7,7252.5,28
HB1603,7/4/16 8:58,3914,7141.3,34
HB1603,7/5/16 9:03,3824.4,7000.2,40
HB1603,7/6/16 9:00,3822.8,6957.8,41
HB1603,7/7/16 9:15,3739.5,6814.6,48
HB1603,7/8/16 8:58,3902.6,6754.2,55
HB1603,7/11/16 9:14,4005.1,7251.4,59
HB1603,7/12/16 9:18,3841.2,7434.2,66
HB1603,7/13/16 8:42,3931.7,7237.5,69
HB1603,7/19/16 9:16,4011.6,7118.2,72
HB1603,7/20/16 8:56,4015,7021.4,78
HB1603,7/21/16 9:00,4011,6849.5,84
HB1603,7/22/16 8:51,3959.1,6739.1,88
HB1603,7/25/16 9:21,4043.7,6618.3,99
HB1603,7/26/16 9:23,4154.5,6529.8,104
HB1603,7/28/16 8:48,4055.1,6503,109
HB1603,7/29/16 8:34,3918.2,6512.2,113
HB1603,7/29/16 8:34,3918.2,6512.2,113
HB1603,7/30/16 9:23,4004.8,6758.9,115
HB1603,7/31/16 8:59,3856.7,6911.8,119
HB1603,8/1/16 9:07,3932.7,7102.8,123
HB1603,8/2/16 8:58,3946.9,7013.6,128
HB1603,8/3/16 9:00,3956.3,6850.4,132
HB1603,8/4/16 9:11,4028.8,7006.1,129
HB1603,8/11/16 9:20,4028.2,6832.6,137
HB1603,8/11/16 9:20,4028.2,6832.6,137
HB1603,8/12/16 10:03,4103.7,6609.3,140
HB1603,8/13/16 9:02,4206.5,6528,141
HB1603,8/13/16 22:57,4125.8,6614.3,144
HB1603,8/14/16 9:04,4124.8,6552.2,145
HB1603,8/15/16 10:04,4043.2,6618.5,152
HB1603,8/15/16 10:04,4043.2,6618.5,152
HB1603,8/16/16 8:50,4009.3,6938.1,155
HB1603,8/18/16 8:57,4012.3,7117.5,158
HB1603,8/19/16 22:41,3939.1,6630.7,162
HB1603,8/20/16 22:57,3933.7,6521.3,165
HB1603,8/21/16 8:46,4013.9,6541.4,166
HB1603,8/22/16 9:06,4043.3,6634.5,170
HB1603,8/23/16 9:16,4028.1,6830.9,175
HB1603,8/24/16 9:41,3917.5,7006.3,177
HB1603,8/24/16 9:41,3917.5,7006.3,177
HB1603,8/23/16 9:16,4028.1,6830.9,175
HB1603,8/22/16 9:06,4043.3,6634.5,170
HB1603,7/7/16 1:20,3728.8,6817.1,44
HB1603,7/20/16 3:40,3946,7012.4,75
HB1603,7/21/16 4:00,4002,6902.7,82
HB1603,7/22/16 5:47,4009.8,6730.4,87
HB1603,7/24/16 4:39,4034.1,6703.3,93
HB1603,7/24/16 8:15,4021.1,6712.7,94
HB1603,7/27/16 8:45,4205.2,6531.6,106
HB1603,8/19/16 9:18,4005.8,6828.8,160
HB1603,7/23/16 9:09,3942.1,6537.7,92
HB1603,7/23/16 3:23,3919.6,6538.6,91
HB1603,7/23/16 3:23,3919.6,6538.6,91
HB1603,7/25/16 3:28,4043.5,6619.9,97
HB1603,7/26/16 2:13,4153.2,6525.2,102
HB1603,7/26/16 2:13,4153.2,6525.2,102
HB1603,7/26/16 2:13,4153.2,6525.2,102
HB1603,7/27/16 2:33,4151.5,6539.9,105
HB1603,7/28/16 1:38,4055.2,6501.8,108
HB1603,7/29/16 3:25,3927.5,6527.4,112
HB1603,7/30/16 1:24,3949.9,6707.8,114
HB1603,7/31/16 2:16,3858.1,6910.6,118
HB1603,8/1/16 1:58,3934,7055.6,122
HB1603,8/2/16 2:59,3953.3,7013.5,126
HB1603,8/3/16 2:04,4001.7,6846.6,131
HB1603,8/4/16 1:17,3954.2,7019.3,128
HB1603,6/28/16 10:03,4011,7117,2
HB1603,6/28/16 16:06,3934,7122.9,3
HB1603,6/28/16 22:24,3943.6,7218.9,4
HB1603,6/29/16 23:14,3856.9,7143.7,9
HB1603,6/30/16 1:18,3857,7131.2,10
HB1603,6/30/16 2:54,3855.4,7118.3,11
HB1603,6/30/16 4:53,3857.5,7105.9,12
HB1603,6/30/16 15:59,3805.4,7149.4,14
HB1603,7/1/16 0:23,3724.3,7151,15
HB1603,7/1/16 2:25,3724.8,7154.3,16
HB1603,7/1/16 3:52,3732.9,7151.3,17
HB1603,7/1/16 5:54,3741.2,7151.1,18
HB1603,7/1/16 15:54,3638,7205.8,20
HB1603,7/1/16 23:09,3717.4,7258.3,21
HB1603,7/2/16 8:30,3817.5,7359.1,22
HB1603,7/2/16 23:06,3836.9,7250.3,23
HB1603,7/3/16 4:01,3824.4,7238.7,26
HB1603,7/3/16 5:42,3819.3,7231.6,27
HB1603,7/3/16 16:00,3916.3,7249.4,29
HB1603,7/4/16 0:18,3912.9,7140.2,30
HB1603,7/4/16 4:36,3902.9,7120.8,33
HB1603,7/4/16 22:59,3823,6952.5,36
HB1603,7/5/16 2:01,3826.3,7004.9,37
HB1603,7/5/16 3:51,3829.1,7010.1,38
HB1603,7/4/16 15:57,3844.4,7041,35
HB1603,7/6/16 15:58,3750.2,6855.9,42
HB1603,7/6/16 22:57,3740.1,6814.4,43
HB1603,7/7/16 0:41,3730,6817.9,44
HB1603,7/7/16 2:35,3721.4,6816.6,45
HB1603,7/7/16 15:50,3815.4,6806.6,49
HB1603,7/7/16 23:40,3904,6754.2,50
HB1603,7/8/16 1:26,3854.3,6756.6,51
HB1603,7/8/16 2:34,3846.5,6758.7,52
HB1603,7/8/16 4:00,3839.1,6800.2,53
HB1603,7/8/16 15:51,3937.4,6746.1,56
HB1603,7/8/16 23:37,4025.5,6741.3,57
HB1603,7/11/16 9:02,4004.8,7251,59
HB1603,7/11/16 15:58,3932.6,7358.2,60
HB1603,7/11/16 23:47,3906.7,7429.5,61
HB1603,7/12/16 9:04,3841.4,7434.6,66
