STATION_PK_SEQ,EVENT_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,OPERATION,EVENT_DATE,CTD_CAST_NUMBER,SITE_ID,LATITUDE,LONGITUDE,GROUNDFISH_STRATUM,SURFACE_TEMPERATURE,TOW_PROFILE,TOW_PROTOCOL,TOW_TIME_DURATION,TOW_MAXIMUM_DEPTH,MAXIMUM_WIRE_OUT,BOTTOM_DEPTH_MAX_WIRE_OUT,DOE,DOC,UOE,UOC,wodcast,CTD_SSS,CTD_SST,CTD_BotDepth,DOY,GEAR_1,GEAR_VOLUME_FILTERED_1,ICH_HAUL_FACTOR_1,PRESERVATIVE_1,BLUEFIN_1,PROCESSED_1,GEAR_2,GEAR_VOLUME_FILTERED_2,ICH_HAUL_FACTOR_2,BLUEFIN_2,PRESERVATIVE_2,PROCESSED_2
39063,70594,HB1603,2,2,BON/CTD,28-Jun-2016 10:02:30,2,2,40.1833,-71.2833,1060,17.19,OBL,OT,678,92,NaN,96,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299124,32.6689987182617,17.9699993133545,96,180.417500019073,6B3,194.344,4.73,F5,0,Poland,6B3I,221.232,4.16,nan,E95,No
39064,70595,HB1603,3,3,BON/CTD,28-Jun-2016 16:06:16,3,3,39.5667,-71.3817,NaN,19.07,OBL,OT,1213,203,NaN,204,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299125,32.9099998474121,19.2700004577637,204,180.669166624546,6B3,289.907,7,F5,0,Poland,6B3I,354.495,5.73,nan,E95,No
39065,70596,HB1603,4,4,BON/CTD,28-Jun-2016 22:24:19,4,4,39.7267,-72.315,1020,18.04,OBL,OT,802,97,NaN,101,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299126,32.5359992980957,18.0400009155273,101,180.926666676998,6B3,236.747,4.1,F5,0,Poland,6B3I,285.455,3.4,nan,E95,No
39066,70597,HB1603,9,9,BON/CTD,29-Jun-2016 23:14:38,9,9,38.9483,-71.7283,NaN,21.52,OBL,OT,1120,203,NaN,2495,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299131,34.8880004882813,21.6399993896484,2495,181.964166641235,6B3,228.58,8.88,F5,0,Poland,6B3I,277.596,7.31,nan,E95,No
39067,70598,HB1603,10,12,BON/CTD,30-Jun-2016 01:18:10,12,10,38.95,-71.52,NaN,20.11,OBL,OT,1255,203,NaN,2600,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299134,33.9469985961914,20.8700008392334,2600,182.049166664481,6B3,313.385,6.48,F5,0,Poland,6B3I,377.818,5.37,nan,E95,No
39068,70599,HB1603,11,13,BON/CTD,30-Jun-2016 02:53:57,13,11,38.9233,-71.305,NaN,20.74,OBL,OT,1367,220,NaN,2778,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299135,33.4300003051758,20.7700004577637,2778,182.105416662991,6B3,305.768,7.19,F5,0,Poland,6B3I,368.861,5.96,nan,E95,No
39069,70600,HB1603,12,16,BON/CTD,30-Jun-2016 04:53:13,16,12,38.9583,-71.0983,NaN,19.5,OBL,OT,1683,203,NaN,2932,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299138,32.8699989318848,19.5100002288818,2932,182.188750013709,6B3,481.502,4.22,F5,0,Poland,6B3I,574.544,3.53,nan,E95,No
39070,70601,HB1603,14,18,BON/CTD,30-Jun-2016 15:59:46,18,14,38.09,-71.8233,NaN,23.66,OBL,OT,1172,196,NaN,196,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299140,35.1300010681152,23.6700000762939,2978,182.649583339691,6B3,289.75,6.76,F5,0,Poland,6B3I,343.763,5.7,nan,E95,No
39071,70602,HB1603,15,19,BON/CTD,01-Jul-2016 00:23:25,19,15,37.405,-71.85,NaN,28.35,OBL,OT,1195,202,NaN,3399,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299141,36.1349983215332,28.3299999237061,3399,183.009583333507,6B3,270.04,7.48,F5,0,Poland,6B3I,297.793,6.78,nan,E95,No
39072,70603,HB1603,16,22,BON/CTD,01-Jul-2016 02:25:16,22,16,37.4133,-71.905,NaN,28.33,OBL,OT,1219,211,NaN,3351,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,18299144,36.2789993286133,28.3199996948242,3351,183.09375,6B3,238.867,8.83,F5,1,Poland,6B3I,190.895,11.05,nan,E95,No
