STATION_PK_SEQ,EVENT_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,OPERATION,EVENT_DATE,CTD_CAST_NUMBER,SITE_ID,LATITUDE,LONGITUDE,SURVEY_PERIOD,REGION,PLANKTON_STRATUM,GROUNDFISH_STRATUM,SURFACE_TEMPERATURE,SURFACE_TEMPERATURE_INSTRUMENT,TOW_PROFILE,TOW_PROTOCOL,TOW_TIME_DURATION,TOW_MAXIMUM_DEPTH,MAXIMUM_WIRE_OUT,BOTTOM_DEPTH_MAX_WIRE_OUT,EVENT_COMMENT,CNV_STRNUM,CNV_REG,CNV_SUBREG,CNV_OTHNUM,DOE,DOC,UOE,UOC,SAMPLING_PROGRAM
38620,70149,GU1608,1,1,BON/CTD,5/21/16 21:25,1,1,41.3217,-71.2533,,SNE,20,1050,12.21,C,OBL,STD,417,32,,36,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38621,70150,GU1608,2,2,BON/CTD,5/22/16 0:24,2,2,40.9183,-71.3367,,SNE,19,1060,12.23,C,OBL,STD,398,51,,56,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38622,70151,GU1608,3,3,BON/CTD,5/22/16 2:36,3,3,40.6717,-71.6017,,SNE,19,1060,11.72,C,OBL,STD,459,66,,71,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38623,70152,GU1608,4,4,BON/CTD,5/22/16 4:37,4,4,40.9167,-71.7617,,SNE,20,1050,11.57,C,OBL,STD,301,45,,49,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38624,70153,GU1608,5,5,BON/CTD,5/22/16 6:26,5,5,40.915,-72.095,,SNE,21,3050,10.98,C,OBL,STD,271,21,,27,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38625,70154,GU1608,6,6,BON/CTD,5/22/16 8:36,6,6,40.6617,-72.3433,,SNE,20,1050,11.68,C,OBL,STD,305,37,,43,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38626,70155,GU1608,7,7,BON/CTD,5/22/16 9:37,7,7,40.665,-72.5083,,SNE,16,1010,11.37,C,OBL,STD,280,32,,38,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38627,70156,GU1608,8,8,BON/CTD,5/22/16 11:33,8,8,40.41,-72.5017,,SNE,16,1010,11.5,C,OBL,STD,338,45,,49,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38628,70157,GU1608,9,9,BON/CTD,5/22/16 12:25,9,9,40.3317,-72.585,,SNE,16,1010,11.25,C,OBL,STD,315,44,,50,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38629,70158,GU1608,10,10,BON/CTD,5/22/16 14:43,10,10,40.415,-73.0033,,SNE,16,1010,11.46,C,OBL,STD,354,33,,38,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38630,70159,GU1608,11,11,BON/CTD,5/22/16 16:57,11,11,40.415,-73.42,,SNE,17,3110,12.98,C,OBL,STD,306,26,,30,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38631,70160,GU1608,12,12,BON/CTD,5/22/16 22:25,12,12,39.58,-73.5067,LSPRING,MAB,11,1730,11.55,C,OBL,STD,362,34,,38,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38632,70161,GU1608,13,13,BON/CTD,5/22/16 23:35,13,13,39.4183,-73.42,LSPRING,MAB,11,1730,10.9,C,OBL,STD,394,35,,37,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38633,70162,GU1608,15,15,BON/CTD,5/23/16 2:25,14,15,39.3317,-73.09,LSPRING,MAB,10,1740,11.41,C,OBL,STD,398,58,,62,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38634,70163,GU1608,16,16,BON/CTD,5/23/16 4:00,15,16,39.2483,-72.845,LSPRING,MAB,10,1740,10.65,C,OBL,STD,558,79,,83,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38635,70164,GU1608,19,19,BON/CTD,5/23/16 9:06,16,19,38.87,-72.47,LSPRING,MAB,56,,17.94,C,OBL,OT,1437,202,,1850,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38636,70165,GU1608,20,20,BON/CTD,5/23/16 11:13,17,20,38.8483,-72.7767,LSPRING,MAB,56,,17.15,C,OBL,OT,1337,201,,1321,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38637,70166,GU1608,21,21,BON/CTD,5/23/16 13:14,18,21,38.8317,-73.0833,LSPRING,MAB,10,1740,10.88,C,OBL,STD,597,85,,89,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38638,70167,GU1608,22,22,BON/CTD,5/23/16 15:55,19,22,38.5017,-73.3417,LSPRING,MAB,10,1750,15.66,C,OBL,STD,921,122,,127,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38639,70168,GU1608,23,23,BON/CTD,5/23/16 20:30,20,23,38.415,-74.25,LSPRING,MAB,8,1690,12.04,C,OBL,STD,325,42,,46,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38640,70169,GU1608,24,24,BON/CTD,5/23/16 23:46,21,24,37.9167,-74.3333,LSPRING,MAB,7,1700,12.57,C,OBL,STD,486,63,,67,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38641,70170,GU1608,25,25,BON/CTD,5/24/16 1:07,22,25,37.7483,-74.335,LSPRING,MAB,7,1700,13.78,C,OBL,STD,469,76,,80,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38642,70171,GU1608,27,27,BON/CTD,5/24/16 3:33,23,27,37.6117,-74.075,LSPRING,MAB,54,,14.59,C,OBL,OT,1325,202,,1369,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38643,70172,GU1608,28,28,BON/CTD,5/24/16 6:00,24,28,37.555,-74.415,LSPRING,MAB,4,1660,12.74,C,OBL,OT,814,91,,97,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38644,70173,GU1608,29,29,BON/CTD,5/24/16 10:12,25,29,37.0833,-74.9117,LSPRING,MAB,5,1650,12.74,C,OBL,STD,410,46,,50,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38645,70174,GU1608,30,30,BON/CTD,5/24/16 13:05,26,30,36.6633,-74.7483,LSPRING,MAB,4,1660,13.57,C,OBL,STD,763,80,,86,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38646,70175,GU1608,32,32,BON/CTD,5/24/16 19:04,27,32,36.0017,-74.74,LSPRING,MAB,1,1640,23.27,C,OBL,STD,1313,201,,663,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38647,70176,GU1608,34,34,BON/CTD,5/25/16 0:58,28,34,35.6717,-75.4067,LSPRING,MAB,3,3440,17.17,C,OBL,STD,279,22,,24,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38648,70177,GU1608,35,35,BON/CTD,5/25/16 3:36,29,35,35.9933,-75.5867,LSPRING,MAB,3,3400,17.51,C,OBL,STD,428,19,,22,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38649,70178,GU1608,38,38,BON/CTD,5/25/16 8:17,30,38,36.165,-75.1667,LSPRING,MAB,2,1610,15.28,C,OBL,STD,344,28,,33,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38650,70179,GU1608,39,39,BON/CTD,5/25/16 10:17,31,39,36.415,-75.1633,LSPRING,MAB,2,1610,15.49,C,OBL,STD,288,30,,32,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38651,70180,GU1608,40,40,BON/CTD,5/25/16 15:12,32,40,36.915,-75.835,LSPRING,MAB,6,3370,16.75,C,OBL,STD,263,9,,13,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38652,70181,GU1608,41,41,BON/CTD,5/25/16 17:52,33,41,37.2483,-75.5817,LSPRING,MAB,6,3350,15.26,C,OBL,STD,340,17,,21,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38653,70182,GU1608,42,42,BON/CTD,5/25/16 20:38,34,42,37.25,-75.0867,LSPRING,MAB,5,1650,14.18,C,OBL,STD,390,32,,35,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38654,70183,GU1608,43,43,BON/CTD,5/25/16 21:57,35,43,37.33,-74.9233,LSPRING,MAB,5,1650,13.81,C,OBL,STD,369,36,,40,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38655,70184,GU1608,44,44,BON/CTD,5/25/16 22:58,36,44,37.4117,-74.835,LSPRING,MAB,5,1650,14.57,C,OBL,STD,349,42,,47,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38656,70185,GU1608,45,45,BON/CTD,5/25/16 23:57,37,45,37.5,-74.7517,LSPRING,MAB,5,1650,13.86,C,OBL,STD,372,47,,51,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38657,70186,GU1608,48,48,BON/CTD,5/26/16 7:33,38,48,38.3317,-74.83,LSPRING,MAB,9,3290,13.8,C,OBL,STD,565,15,,18,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38658,70187,GU1608,49,49,BON/CTD,5/26/16 8:58,39,49,38.4133,-74.67,LSPRING,MAB,8,1690,13.91,C,OBL,STD,259,32,,35,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38659,70188,GU1608,50,50,BON/CTD,5/26/16 11:22,40,50,38.7433,-74.6667,LSPRING,MAB,8,1690,14.19,C,OBL,STD,349,20,,26,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38660,70189,GU1608,51,51,BON/CTD,5/26/16 12:54,41,51,38.915,-74.6633,LSPRING,MAB,12,3220,14.7,C,OBL,STD,278,11,,15,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38661,70190,GU1608,52,52,BON/CTD,5/26/16 17:36,42,52,38.7467,-74.0033,LSPRING,MAB,8,1690,13.52,C,OBL,STD,520,44,,48,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38662,70191,GU1608,53,53,BON/CTD,5/26/16 19:14,43,53,38.9133,-73.8367,LSPRING,MAB,11,1730,13.67,C,OBL,STD,416,39,,40,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38663,70192,GU1608,54,54,BON/CTD,5/26/16 21:44,44,54,39.25,-73.9983,LSPRING,MAB,11,1730,12.76,C,OBL,STD,301,22,,27,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38664,70193,GU1608,55,55,BON/CTD,5/26/16 23:15,45,55,39.4133,-74.165,LSPRING,MAB,13,3200,15.24,C,OBL,STD,238,14,,18,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38665,70194,GU1608,57,57,BON/CTD,5/27/16 2:15,46,57,39.6617,-73.9183,LSPRING,MAB,13,3170,14.68,C,OBL,STD,328,22,,26,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38666,70195,GU1608,58,58,BON/CTD,5/27/16 7:52,47,58,39.4983,-72.8333,LSPRING,SNE,15,1020,13.2,C,OBL,STD,370,61,,65,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38667,70196,GU1608,59,59,BON/CTD,5/27/16 10:44,48,59,39.6633,-72.335,LSPRING,SNE,15,1020,12.91,C,OBL,STD,682,110,,114,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38668,70197,GU1608,60,60,BON/CTD,5/27/16 12:00,49,60,39.6667,-72.165,LSPRING,SNE,14,1030,12.82,C,OBL,STD,983,119,,124,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38669,70198,GU1608,61,61,BON/CTD,5/27/16 15:03,50,61,40.0867,-72.0817,LSPRING,SNE,15,1020,13.54,C,OBL,STD,477,68,,74,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38670,70199,GU1608,62,62,BON/CTD,5/27/16 20:33,51,62,40.4117,-71.1717,LSPRING,SNE,19,1060,12.69,C,OBL,STD,503,79,,83,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38671,70200,GU1608,63,63,BON/CTD,5/27/16 23:55,52,63,40.0117,-71,LSPRING,SNE,18,1080,13.26,C,OBL,STD,1380,201,,321,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38672,70201,GU1608,64,65,BON/CTD,5/28/16 2:26,54,64,39.82,-70.8167,LSPRING,SNE,60,,13.96,C,OBL,OT,1340,201,,1072,,,,,,22-Jul-16,31-Jan-17,PLANKTON,PLANKTON,
38673,70202,GU1608,65,66,BON/CTD,5/28/16 4:26,55,65,39.655,-70.62,LSPRING,SNE,60,,17.72,C,OBL,OT,1200,201,,2216,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38674,70203,GU1608,68,69,BON/CTD,5/28/16 10:42,56,68,40.2483,-70.335,LSPRING,SNE,23,1100,11.7,C,OBL,STD,596,95,,100,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38675,70204,GU1608,69,70,BON/CTD,5/28/16 12:58,57,69,40.5,-70.58,LSPRING,SNE,23,1100,12.37,C,OBL,STD,387,66,,71,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38676,70205,GU1608,70,71,BON/CTD,5/28/16 14:46,58,70,40.6667,-70.3317,LSPRING,SNE,24,1090,12.2,C,OBL,STD,465,47,,52,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38677,70206,GU1608,72,73,BON/CTD,5/28/16 17:37,59,72,40.665,-70.7517,LSPRING,SNE,19,1060,12.87,C,OBL,STD,368,61,,65,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38678,70207,GU1608,73,74,BON/CTD,5/28/16 19:10,60,73,40.83,-70.9183,LSPRING,SNE,19,1060,13.77,C,OBL,STD,368,52,,55,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38679,70208,GU1608,74,75,BON/CTD,5/28/16 20:34,61,74,40.9983,-70.835,LSPRING,SNE,20,1050,13.01,C,OBL,STD,404,47,,50,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38680,70209,GU1608,76,77,BON/CTD,5/28/16 23:10,62,76,41.165,-70.5017,LSPRING,SNE,24,1090,12.74,C,OBL,STD,326,32,,37,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38681,70210,GU1608,77,78,BON/CTD,5/29/16 0:06,63,77,41.24,-70.4083,LSPRING,SNE,24,1090,12.71,C,OBL,STD,324,26,,31,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38682,70211,GU1608,78,79,BON/CTD,5/29/16 4:11,64,78,40.7483,-70.0067,LSPRING,SNE,24,1090,11.24,C,OBL,STD,484,34,,39,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38683,70212,GU1608,79,80,BON/CTD,5/29/16 7:11,65,79,40.3317,-69.9183,LSPRING,SNE,23,1100,12.81,C,OBL,STD,635,79,,84,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38684,70213,GU1608,80,81,BON/CTD,5/29/16 8:20,66,80,40.3317,-69.7533,LSPRING,SNE,23,1100,12.74,C,OBL,STD,512,71,,76,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38685,70214,GU1608,81,82,BON/CTD,5/29/16 12:24,67,81,40.08,-69,LSPRING,SNE,22,1110,13.89,C,OBL,STD,1193,166,,172,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38686,70215,GU1608,82,83,BON/CTD,5/29/16 14:58,68,82,40.2517,-68.6667,LSPRING,GB,26,1140,12.1,C,OBL,STD,833,109,,114,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38687,70216,GU1608,83,84,BON/CTD,5/29/16 17:14,69,83,40.4983,-68.505,LSPRING,GB,27,1130,12.03,C,OBL,STD,626,86,,91,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38688,70217,GU1608,84,85,BON/CTD,5/29/16 19:02,70,84,40.4133,-68.25,LSPRING,GB,26,1140,10.9,C,OBL,STD,961,119,,125,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38689,70218,GU1608,87,88,BON/CTD,5/30/16 2:21,71,87,40.58,-67.5033,LSPRING,GB,27,1130,10.92,C,OBL,STD,762,101,,106,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
38690,70219,GU1608,88,89,BON/CTD,5/30/16 3:07,72,88,40.5767,-67.5883,LSPRING,GB,27,1130,10.26,C,OBL,STD,836,101,,105,,,,,,22-Jul-16,22-Jul-16,PLANKTON,PLANKTON,
