STATION_PK_SEQ,EVENT_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,OPERATION,EVENT_DATE,CTD_CAST_NUMBER,SITE_ID,LATITUDE,LONGITUDE,SURVEY_PERIOD,REGION,PLANKTON_STRATUM,GROUNDFISH_STRATUM,SURFACE_TEMPERATURE,SURFACE_TEMPERATURE_INSTRUMENT,TOW_PROFILE,TOW_PROTOCOL,TOW_TIME_DURATION,TOW_MAXIMUM_DEPTH,MAXIMUM_WIRE_OUT,BOTTOM_DEPTH_MAX_WIRE_OUT,EVENT_COMMENT,CNV_STRNUM,CNV_REG,CNV_SUBREG,CNV_OTHNUM,DOE,DOC,UOE,UOC,SAMPLING_PROGRAM,TimeDecimal,DayNight,Sunrise,Sunset
38620,70149,GU1608,1,1,BON/CTD,05/21/0016 21:25,1,1,41.3217,-71.2533,,SNE,20,1050,12.21,C,OBL,STD,417,32,NaN,36,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,21.4166666666667,Day,9.69605333333294,23.7043866666663
38621,70150,GU1608,2,2,BON/CTD,05/22/0016 00:24,2,2,40.9183,-71.3367,,SNE,19,1060,12.23,C,OBL,STD,398,51,NaN,56,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,0.4,Night,9.70161333333323,23.7099466666665
38622,70151,GU1608,3,3,BON/CTD,05/22/0016 02:36,3,3,40.6717,-71.6017,,SNE,19,1060,11.72,C,OBL,STD,459,66,NaN,71,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,2.6,Night,9.72761333333375,23.71928
38623,70152,GU1608,4,4,BON/CTD,05/22/0016 04:37,4,4,40.9167,-71.7617,,SNE,20,1050,11.57,C,OBL,STD,301,45,NaN,49,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,4.61666666666667,Night,9.72994666666643,23.7382799999997
38624,70153,GU1608,5,5,BON/CTD,05/22/0016 06:26,5,5,40.915,-72.095,,SNE,21,3050,10.98,C,OBL,STD,271,21,NaN,27,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,6.43333333333333,Night,9.75216666666626,23.7604999999996
38625,70154,GU1608,6,6,BON/CTD,05/22/0016 08:36,6,6,40.6617,-72.3433,,SNE,20,1050,11.68,C,OBL,STD,305,37,NaN,43,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,8.6,Night,9.77705333333376,23.76872
38626,70155,GU1608,7,7,BON/CTD,05/22/0016 09:37,7,7,40.665,-72.5083,,SNE,16,1010,11.37,C,OBL,STD,280,32,NaN,38,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,9.61666666666667,Night,9.78805333333327,23.7797199999995
38627,70156,GU1608,8,8,BON/CTD,05/22/0016 11:33,8,8,40.41,-72.5017,,SNE,16,1010,11.5,C,OBL,STD,338,45,NaN,49,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,11.55,Day,9.79594666666691,23.7709466666667
38628,70157,GU1608,9,9,BON/CTD,05/22/0016 12:25,9,9,40.3317,-72.585,,SNE,16,1010,11.25,C,OBL,STD,315,44,NaN,50,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,12.4166666666667,Day,9.80150000000032,23.7765000000001
38629,70158,GU1608,10,10,BON/CTD,05/22/0016 14:43,10,10,40.415,-73.0033,,SNE,16,1010,11.46,C,OBL,STD,354,33,NaN,38,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,14.7166666666667,Day,9.82938666666707,23.8043866666669
