EVENT_PK_SEQ,NET_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,NET_NUMBER,GEAR,GEAR_VOLUME_FILTERED,SAMPLE_JAR_COUNT,SAMPLE_TYPE,SAMPLE_SPLIT_FACTOR,FLOWMETER_NUMBER,FLOWMETER_CALIBRATION_DATE,FLOWMETER_CALIBRATION_FACTOR,FLOWMETER_REVOLUTIONS,PRESERVATIVE,FLAG_SEASON,FLAG_FLOWMETER_DIFF,FLAG_DEPTH,FLAG_REGION,FLAG_CLOGGING,FLAG_ZOO_ANALYZED,FLAG_EGGS_ANALYZED,FLAG_ICHTHYO_ANALYZED,FLAG_SAMPLE_INTACT,NET_COMMENT,DOE,DOC,UOE,UOC,BIO_VOLUME_ZOO_QUICK,ICH_HAUL_FCTR,ICH_HAUL_FCTR_LOCK,NET_DEPTH_MAX,NET_DEPTH_MIN,NET_DEPTH_MEAN,NET_DEPTH_START,NET_DEPTH_END,EGG_HAUL_FCTR,EGG_HAUL_FCTR_LOCK,ICH_QUARTER_PROC_FLAG
70149,72680,GU1608,0001,1,1,6B3I,111.424,1,I,,26415,01-JAN-15,0.26873,1419,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,2.87,,,,,,,,,
70149,72681,GU1608,0001,1,2,6B3Z,109.92,1,Z,,26417,01-JAN-14,0.2687,1400,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70149,72682,GU1608,0001,1,7,2B3,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70150,72683,GU1608,0002,2,1,6B3I,118.098,1,I,,26415,01-JAN-15,0.26873,1504,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,4.32,,,,,,,,,
70150,72684,GU1608,0002,2,2,6B3Z,118.007,1,Z,,26417,01-JAN-14,0.2687,1503,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70150,72685,GU1608,0002,2,6,2B1,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70151,72686,GU1608,0003,3,1,6B3I,131.604,1,I,,26415,01-JAN-15,0.26873,1676,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,5.02,,,,,,,,,
70151,72687,GU1608,0003,3,2,6B3Z,121.383,1,Z,,26417,01-JAN-14,0.2687,1546,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70151,72688,GU1608,0003,3,6,2B1,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
70152,72689,GU1608,0004,4,1,6B3I,87.632,1,I,,26415,01-JAN-15,0.26873,1116,F5,1,,,1,N,,,I,Y,,22-JUL-16,13-DEC-16,PLANKTON,PLANKTON,,5.14,,,,,,,,,
70152,72690,GU1608,0004,4,2,6B3Z,82.911,1,Z,,26417,01-JAN-14,0.2687,1056,F5,1,,,1,N,I,,,Y,,22-JUL-16,02-JUN-17,PLANKTON,PLANKTON,,,,,,,,,,,
70152,72691,GU1608,0004,4,6,2B1,,,,,,,,,,1,,,1,,,,,,,22-JUL-16,14-SEP-16,PLANKTON,PLANKTON,,,,,,,,,,,
