CRUISE_PK_SEQ,STATION_PK_SEQ,CRUISE_NAME,STATION,STATION_COMMENT,DOE,DOC,UOE,UOC
414,38620,GU1608,0001,,22-JUL-16,,PLANKTON,
414,38621,GU1608,0002,,22-JUL-16,,PLANKTON,
414,38622,GU1608,0003,,22-JUL-16,,PLANKTON,
414,38623,GU1608,0004,,22-JUL-16,,PLANKTON,
414,38624,GU1608,0005,,22-JUL-16,,PLANKTON,
414,38625,GU1608,0006,,22-JUL-16,,PLANKTON,
414,38626,GU1608,0007,,22-JUL-16,,PLANKTON,
414,38627,GU1608,0008,,22-JUL-16,,PLANKTON,
414,38628,GU1608,0009,,22-JUL-16,,PLANKTON,
414,38629,GU1608,0010,,22-JUL-16,,PLANKTON,
414,38630,GU1608,0011,,22-JUL-16,,PLANKTON,
414,38631,GU1608,0012,,22-JUL-16,,PLANKTON,
414,38632,GU1608,0013,,22-JUL-16,,PLANKTON,
414,38633,GU1608,0015,,22-JUL-16,,PLANKTON,
414,38634,GU1608,0016,,22-JUL-16,,PLANKTON,
414,38635,GU1608,0019,,22-JUL-16,,PLANKTON,
414,38636,GU1608,0020,,22-JUL-16,,PLANKTON,
414,38637,GU1608,0021,,22-JUL-16,,PLANKTON,
414,38638,GU1608,0022,,22-JUL-16,,PLANKTON,
414,38639,GU1608,0023,,22-JUL-16,,PLANKTON,
414,38640,GU1608,0024,,22-JUL-16,,PLANKTON,
414,38641,GU1608,0025,,22-JUL-16,,PLANKTON,
414,38642,GU1608,0027,,22-JUL-16,,PLANKTON,
414,38643,GU1608,0028,,22-JUL-16,,PLANKTON,
414,38644,GU1608,0029,,22-JUL-16,,PLANKTON,
414,38645,GU1608,0030,,22-JUL-16,,PLANKTON,
414,38646,GU1608,0032,,22-JUL-16,,PLANKTON,
414,38647,GU1608,0034,,22-JUL-16,,PLANKTON,
414,38648,GU1608,0035,,22-JUL-16,,PLANKTON,
414,38649,GU1608,0038,,22-JUL-16,,PLANKTON,
414,38650,GU1608,0039,,22-JUL-16,,PLANKTON,
414,38651,GU1608,0040,,22-JUL-16,,PLANKTON,
414,38652,GU1608,0041,,22-JUL-16,,PLANKTON,
414,38653,GU1608,0042,,22-JUL-16,,PLANKTON,
414,38654,GU1608,0043,,22-JUL-16,,PLANKTON,
414,38655,GU1608,0044,,22-JUL-16,,PLANKTON,
414,38656,GU1608,0045,,22-JUL-16,,PLANKTON,
414,38657,GU1608,0048,,22-JUL-16,,PLANKTON,
414,38658,GU1608,0049,,22-JUL-16,,PLANKTON,
414,38659,GU1608,0050,,22-JUL-16,,PLANKTON,
414,38660,GU1608,0051,,22-JUL-16,,PLANKTON,
414,38661,GU1608,0052,,22-JUL-16,,PLANKTON,
414,38662,GU1608,0053,,22-JUL-16,,PLANKTON,
414,38663,GU1608,0054,,22-JUL-16,,PLANKTON,
414,38664,GU1608,0055,,22-JUL-16,,PLANKTON,
414,38665,GU1608,0057,,22-JUL-16,,PLANKTON,
414,38666,GU1608,0058,,22-JUL-16,,PLANKTON,
414,38667,GU1608,0059,,22-JUL-16,,PLANKTON,
414,38668,GU1608,0060,,22-JUL-16,,PLANKTON,
414,38669,GU1608,0061,,22-JUL-16,,PLANKTON,
414,38670,GU1608,0062,,22-JUL-16,,PLANKTON,
414,38671,GU1608,0063,,22-JUL-16,,PLANKTON,
414,38672,GU1608,0064,,22-JUL-16,,PLANKTON,
414,38673,GU1608,0065,,22-JUL-16,,PLANKTON,
414,38674,GU1608,0068,,22-JUL-16,,PLANKTON,
414,38675,GU1608,0069,,22-JUL-16,,PLANKTON,
414,38676,GU1608,0070,,22-JUL-16,,PLANKTON,
414,38677,GU1608,0072,,22-JUL-16,,PLANKTON,
414,38678,GU1608,0073,,22-JUL-16,,PLANKTON,
414,38679,GU1608,0074,,22-JUL-16,,PLANKTON,
414,38680,GU1608,0076,,22-JUL-16,,PLANKTON,
414,38681,GU1608,0077,,22-JUL-16,,PLANKTON,
414,38682,GU1608,0078,,22-JUL-16,,PLANKTON,
414,38683,GU1608,0079,,22-JUL-16,,PLANKTON,
414,38684,GU1608,0080,,22-JUL-16,,PLANKTON,
414,38685,GU1608,0081,,22-JUL-16,,PLANKTON,
414,38686,GU1608,0082,,22-JUL-16,,PLANKTON,
414,38687,GU1608,0083,,22-JUL-16,,PLANKTON,
414,38688,GU1608,0084,,22-JUL-16,,PLANKTON,
414,38689,GU1608,0087,,22-JUL-16,,PLANKTON,
414,38690,GU1608,0088,,22-JUL-16,,PLANKTON,
414,38691,GU1608,0089,,22-JUL-16,,PLANKTON,
414,38692,GU1608,0090,,22-JUL-16,,PLANKTON,
414,38693,GU1608,0092,,22-JUL-16,,PLANKTON,
414,38694,GU1608,0093,,22-JUL-16,,PLANKTON,
414,38695,GU1608,0095,,22-JUL-16,,PLANKTON,
414,38696,GU1608,0096,,22-JUL-16,,PLANKTON,
414,38697,GU1608,0097,,22-JUL-16,,PLANKTON,
414,38698,GU1608,0098,,22-JUL-16,,PLANKTON,
414,38699,GU1608,0099,,22-JUL-16,,PLANKTON,
414,38700,GU1608,0100,,22-JUL-16,,PLANKTON,
414,38701,GU1608,0101,,22-JUL-16,,PLANKTON,
414,38702,GU1608,0103,,22-JUL-16,,PLANKTON,
414,38703,GU1608,0104,,22-JUL-16,,PLANKTON,
414,38704,GU1608,0105,,22-JUL-16,,PLANKTON,
414,38705,GU1608,0106,,22-JUL-16,,PLANKTON,
414,38706,GU1608,0107,,22-JUL-16,,PLANKTON,
414,38707,GU1608,0108,,22-JUL-16,,PLANKTON,
414,38708,GU1608,0109,,22-JUL-16,,PLANKTON,
414,38709,GU1608,0110,,22-JUL-16,,PLANKTON,
414,38710,GU1608,0111,,22-JUL-16,,PLANKTON,
414,38711,GU1608,0112,,22-JUL-16,,PLANKTON,
414,38712,GU1608,0114,,22-JUL-16,,PLANKTON,
414,38713,GU1608,0115,,22-JUL-16,,PLANKTON,
414,38714,GU1608,0116,,22-JUL-16,,PLANKTON,
414,38715,GU1608,0117,,22-JUL-16,,PLANKTON,
414,38716,GU1608,0118,,22-JUL-16,,PLANKTON,
414,38717,GU1608,0120,,22-JUL-16,,PLANKTON,
414,38718,GU1608,0121,,22-JUL-16,,PLANKTON,
414,38719,GU1608,0122,,22-JUL-16,,PLANKTON,
414,38720,GU1608,0123,,22-JUL-16,,PLANKTON,
414,38721,GU1608,0124,,22-JUL-16,,PLANKTON,
414,38722,GU1608,0125,,22-JUL-16,,PLANKTON,
414,38723,GU1608,0126,,22-JUL-16,,PLANKTON,
414,38724,GU1608,0127,,22-JUL-16,,PLANKTON,
414,38725,GU1608,0128,,22-JUL-16,,PLANKTON,
414,38726,GU1608,0129,,22-JUL-16,,PLANKTON,
414,38727,GU1608,0130,,22-JUL-16,,PLANKTON,
414,38728,GU1608,0133,,22-JUL-16,,PLANKTON,
414,38729,GU1608,0135,,22-JUL-16,,PLANKTON,
414,38730,GU1608,0136,,22-JUL-16,,PLANKTON,
414,38731,GU1608,0137,,22-JUL-16,,PLANKTON,
414,38732,GU1608,0138,,22-JUL-16,,PLANKTON,
414,38733,GU1608,0139,,22-JUL-16,,PLANKTON,
414,38734,GU1608,0140,,22-JUL-16,,PLANKTON,
414,38735,GU1608,0141,,22-JUL-16,,PLANKTON,
414,38736,GU1608,0142,,22-JUL-16,,PLANKTON,
414,38737,GU1608,0143,,22-JUL-16,,PLANKTON,
414,38738,GU1608,0144,,22-JUL-16,,PLANKTON,
414,38739,GU1608,0145,,22-JUL-16,,PLANKTON,
414,38740,GU1608,0146,,22-JUL-16,,PLANKTON,
414,38741,GU1608,0147,,22-JUL-16,,PLANKTON,
414,38742,GU1608,0148,,22-JUL-16,,PLANKTON,
414,38743,GU1608,0149,,22-JUL-16,,PLANKTON,
414,38744,GU1608,0150,,22-JUL-16,,PLANKTON,
