n,Fish,Radius,ToRing1,ToRing2,ToRing3,ToRing4,ToRing5,ToRing6,ToRing7,ToRing8,ToRing9,ToRing10,ToRing11,ToRing12,ToRing13,ToRing14,ToRing15,ToRing16,ToRing17,ToRing18,ToRing19,ToRing20,ToRing21,ToRing22,ToRing23,ToRing24,Age
1,OR317_0243c.tif,44.4715,10.226,11.1063,12.624,14.6828,17.4058,20.968,26.4408,33.0778,40.3834,,,,,,,,,,,,,,,,9
2,OR317_0193c.tif,32.6948,10.55,11.4284,12.8122,15.0056,18.4649,22.3559,26.7428,,,,,,,,,,,,,,,,,,7
3,OR317_0278c.tif,22.2912,10.4231,11.5215,13.1852,15.4061,17.9517,20.5515,,,,,,,,,,,,,,,,,,,6
4,OR317_0233d.tif,33.5444,10.641,12.4621,14.3797,16.7757,20.1253,24.2047,29.465,,,,,,,,,,,,,,,,,,7
5,OR317_0125a.tif,16.5807,11.5151,12.8674,15.1999,,,,,,,,,,,,,,,,,,,,,,3
6,OR317_0228d.tif,28.7907,10.0247,11.2737,12.7392,14.7296,17.2449,20.6471,25.0552,,,,,,,,,,,,,,,,,,7
7,OR317_0223b.tif,30.8953,9.9374,11.3322,13.4776,16.1856,18.388,21.3278,25.5676,,,,,,,,,,,,,,,,,,7
8,OR317_0254a.tif,25.9568,10.2432,11.1528,12.4529,14.0237,16.4582,19.9002,24.0935,,,,,,,,,,,,,,,,,,7
9,OR317_0152a_upperright.tif,12.6716,9.9363,11.0521,,,,,,,,,,,,,,,,,,,,,,,2
10,OR317_0102a.tif,53.2095,10.1543,10.7619,12.1765,14.0446,16.0115,18.7729,21.6167,25.927,29.9761,35.2926,41.3169,47.5796,,,,,,,,,,,,,12
11,OR317_0240c.tif,31.0435,9.9192,11.1748,12.9321,15.9723,18.8227,21.7811,26.0769,,,,,,,,,,,,,,,,,,7
12,OR317_0164b.tif,43.2369,10.5869,11.4999,12.2194,13.2636,14.5946,16.1961,17.9139,19.5777,22.2774,25.4885,29.1865,34.0057,38.9865,,,,,,,,,,,,13
13,OR317_0280d.tif,44.281,9.311,10.5398,12.1956,14.2995,17.38,21.2553,25.9374,32.2211,39.6722,,,,,,,,,,,,,,,,9
14,OR317_0241a_upperright.tif,12.8209,8.4169,9.419,10.5956,,,,,,,,,,,,,,,,,,,,,,3
15,OR317_0225c_diffoto.tif,32.9748,9.3894,10.5668,12.7446,15.5336,18.0781,22.371,27.7866,,,,,,,,,,,,,,,,,,7
16,OR317_0245a.tif,27.2526,11.0813,12.2418,13.565,15.037,17.1881,18.8389,21.2211,25.2381,,,,,,,,,,,,,,,,,8
17,OR317_0150b.tif,16.4175,10.0118,11.4873,13.3037,14.5629,,,,,,,,,,,,,,,,,,,,,4
