vers,opsid,cruiseid,pc,eventnum,cast,ctdsignal,protocol,deployment,event time,lat,lon,sta depth,ctdoperator,ctdfile,ctd_samprt_navg,ctd upload time,inWater,max ctd depth,btm t,btm s,sfc depth,sfc t,sfc s,ctd depth flag,outofWater,total time,mwo,salt case,salt btl,netid_1,flm_1,flmcal_1,gm_1,start_1,end_1,tot_1,Jars_1,Clog_1,pres_1,netid_2,flm_2,flmcal_2,gm_2,start_2,end_2,tot_2,Jars_2,Clog_2,pres_2,flmpassfail,flmchange,bb_bongo,bbgm,subsample,scsmatchfile,matchyesno,siteid,salt sample depth,MaxWinch1,MaxWinch2
R2.3,2016003HB,HB1603,93,1,1,R,OT,CTD/IKMT Oblique,6/28/16 7:06,4011.6,7116.8,97,EB,sbe001.hex,4/1/77,6/28/16 7:06,6/28/16 7:07,22,11.18,32.95,1.6,17.75,32.67,F,6/28/16 7:16,0:08:16,,,,OT,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,1,,,
R2.3,2016003HB,HB1603,93,15,15,R,OT,CTD/IKMT Oblique,6/30/16 4:38,3857.6,7106.4,2936,EB,sbe015.hex,4/1/77,6/30/16 4:38,6/30/16 4:38,21.5,13.43,34.38,1.6,19.43,32.83,F,6/30/16 4:45,0:06:44,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,12,,,
R2.3,2016003HB,HB1603,93,48,48,R,OT,CTD/IKMT Oblique,7/4/16 5:05,3901.9,7120.4,2929,GS,sbe048.hex,4/1/77,7/4/16 5:05,7/4/16 5:05,25.7,12.38,34.16,1.5,20.61,33.26,F,7/4/16 5:11,0:05:59,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,33,,,
R2.3,2016003HB,HB1603,93,14,14,R,OT,CTD/IKMT Oblique,6/30/16 3:24,3855.8,7117.9,2851,GS,sbe014.hex,4/1/77,6/30/16 3:24,6/30/16 3:24,26.4,13.06,33.93,1.5,20.77,33.45,F,6/30/16 3:32,0:07:30,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,11,,,
R2.3,2016003HB,HB1603,93,118,118,R,OT,CTD/IKMT Oblique,7/22/16 8:07,4000.4,6739.2,2832,EB,sbe118.hex,4/1/77,7/22/16 8:07,7/22/16 8:07,20.8,17.84,35.1,1.5,22.32,33.68,F,7/22/16 8:18,0:10:15,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,88,,,
R2.3,2016003HB,HB1603,93,185,185,R,OT,CTD/IKMT Oblique,8/11/16 16:27,4012.9,6739.4,1400,MB,sbe185.hex,4/1/77,8/11/16 16:26,8/11/16 16:27,25.1,14.7,34.05,1.6,23.31,33.71,F,8/11/16 16:38,0:11:05,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,138,,,
R2.3,2016003HB,HB1603,93,185,185,R,OT,CTD/IKMT Oblique,8/11/16 16:27,4012.9,6739.4,1400,,sbe185.hex,4/1/77,,8/11/16 16:27,25.1,14.7,34.05,1.6,23.31,33.71,F,8/11/16 16:38,0:11:05,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,138,,,
R2.3,2016003HB,HB1603,93,34,34,R,OT,CTD/IKMT Oblique,7/2/16 23:34,3836.1,7250.8,2198,GS,sbe034.hex,4/1/77,7/2/16 23:33,7/2/16 23:34,26.8,17.35,35.17,1.6,21.95,33.8,F,7/2/16 23:40,0:06:50,,,,I,,,2N3,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,23,,,
R2.3,2016003HB,HB1603,93,215,215,R,OT,CTD/IKMT Oblique,8/19/16 9:53,4005.7,6828.7,1125,MB,sbe215.hex,4/1/77,8/19/16 9:43,8/19/16 9:43,23.8,18.11,34.28,1.6,24.12,33.8,F,8/19/16 9:49,0:05:34,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,160,,,
R2.3,2016003HB,HB1603,93,215,215,R,,CTD/IKMT Oblique,8/19/16 9:53,4005.7,6828.7,1125,MB,sbe215.hex,4/1/77,8/19/16 9:16,8/19/16 9:43,23.8,18.11,34.28,1.6,24.12,33.8,F,8/19/16 9:49,0:05:34,,,,I,,,SI9,,,,1,N,F5,,,,,,,,,,,,,,,,,YES,160,,,
