EVENT_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,GEAR,TOW_PROTOCOL,FORMATED_EVENT_DATE,LATITUDE,LONGITUDE,REGION,PLANKTON_STRATUM,BOTTOM_DEPTH_MAX_WIRE_OUT,TAXA_ICHTHYO,TAXA_NAME,ALIQUOT,TOTAL_COUNT,ABUNDANCE,CONC_100M3,COUNT_AT_LENGTH,LENGTH,LENGTH_ABUNDANCE,LENGTH_CONC_100M3
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,148010201,Enchelyopus cimbrius,1,1,2.87,0.9,1,2,2.87,0.9
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183030101,Scophthalmus aquosus,1,1,2.87,0.9,1,2,2.87,0.9
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,170580500,Liparis,1,2,5.74,1.79,1,3.8,2.87,0.9
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,170580500,Liparis,1,2,5.74,1.79,1,4.2,2.87,0.9
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183020301,Limanda ferruginea,1,17,48.79,15.26,2,3,6.1,1.91
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183020301,Limanda ferruginea,1,17,48.79,15.26,2,3.2,6.1,1.91
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183020301,Limanda ferruginea,1,17,48.79,15.26,3,3.8,9.15,2.86
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183020301,Limanda ferruginea,1,17,48.79,15.26,5,4,15.25,4.77
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183020301,Limanda ferruginea,1,17,48.79,15.26,2,4.2,6.1,1.91
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183020301,Limanda ferruginea,1,17,48.79,15.26,1,4.4,3.05,0.95
70149,GU1608,1,1,6B3I,STD,5/21/16 21:25,41.3217,-71.2533,SNE,20,36,183020301,Limanda ferruginea,1,17,48.79,15.26,1,4.8,3.05,0.95
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,148010201,Enchelyopus cimbrius,1,1,4.32,0.85,1,1.6,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,183030101,Scophthalmus aquosus,1,1,4.32,0.85,1,2.7,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,170280101,Tautogolabrus adspersus,1,1,4.32,0.85,1,2.1,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,183020301,Limanda ferruginea,1,7,30.24,5.93,1,2.4,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,183020301,Limanda ferruginea,1,7,30.24,5.93,2,2.6,8.64,1.69
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,183020301,Limanda ferruginea,1,7,30.24,5.93,1,2.7,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,183020301,Limanda ferruginea,1,7,30.24,5.93,2,2.8,8.64,1.69
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,183020301,Limanda ferruginea,1,7,30.24,5.93,1,3.2,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,170440604,Scomber scombrus,1,2,8.64,1.69,1,2.3,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,170440604,Scomber scombrus,1,2,8.64,1.69,1,2.9,4.32,0.85
70150,GU1608,2,2,6B3I,STD,5/22/16 0:24,40.9183,-71.3367,SNE,19,56,148041400,Merluccius,1,1,4.32,0.85,,,,
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,148010301,Gadus morhua,1,1,5.02,0.76,1,22.2,5.02,0.76
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,148010201,Enchelyopus cimbrius,1,3,15.06,2.28,1,2.4,5.02,0.76
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,148010201,Enchelyopus cimbrius,1,3,15.06,2.28,1,2.8,5.02,0.76
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,148010201,Enchelyopus cimbrius,1,3,15.06,2.28,1,13.4,5.02,0.76
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,183021301,Glyptocephalus cynoglossus,1,1,5.02,0.76,1,6.5,5.02,0.76
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,183020301,Limanda ferruginea,1,4,20.08,3.04,1,3,6.69,1.01
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,183020301,Limanda ferruginea,1,4,20.08,3.04,1,3.2,6.69,1.01
70151,GU1608,3,3,6B3I,STD,5/22/16 2:36,40.6717,-71.6017,SNE,19,71,183020301,Limanda ferruginea,1,4,20.08,3.04,1,3.7,6.69,1.01
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,148010201,Enchelyopus cimbrius,1,1,5.14,1.14,1,3.5,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,2.2,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,2.6,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,3.9,5.14,1.14
70152,GU1608,4,4,6B3I,STD,5/22/16 4:37,40.9167,-71.7617,SNE,20,49,183020301,Limanda ferruginea,1,8,41.12,9.13,1,4.1,5.14,1.14
