VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS
04,0317,001,B172,50394,29.9948,-86.9900,77.20,30APR2016:04:29:23,30APR2016:04:39:22,9.98,O,01,03,147,NO TUNA LARVAE CAUGH,0,,,
04,0317,002,B169,50399,29.5063,-86.4933,207.95,30APR2016:10:36:43,30APR2016:10:59:20,22.61,O,01,03,338,NO TUNA LARVAE CAUGH,0,,,
04,0317,003,B165,50404,29.2073,-86.0120,196.58,30APR2016:14:51:32,30APR2016:15:12:20,20.80,O,01,03,304,Katsuwonus pelamis,1,,HIT BOTTOM ON FIRST ATTEMPT,
04,0317,003,B165,50404,29.2073,-86.0120,196.58,30APR2016:14:51:32,30APR2016:15:12:20,20.80,O,01,03,304,Thunnus spp,3,,HIT BOTTOM ON FIRST ATTEMPT,
04,0317,003,B165,50404,29.2073,-86.0120,196.58,30APR2016:14:51:32,30APR2016:15:12:20,20.80,O,01,03,304,Thunnus thynnus,0,,HIT BOTTOM ON FIRST ATTEMPT,
04,0317,004,B160,50409,28.6775,-85.4993,180.77,30APR2016:20:41:47,30APR2016:21:01:22,19.58,O,01,03,285,Katsuwonus pelamis,1,,,
04,0317,004,B160,50409,28.6775,-85.4993,180.77,30APR2016:20:41:47,30APR2016:21:01:22,19.58,O,01,03,285,Thunnus spp,0,,,
04,0317,004,B160,50409,28.6775,-85.4993,180.77,30APR2016:20:41:47,30APR2016:21:01:22,19.58,O,01,03,285,Thunnus thynnus,0,,,
04,0317,005,B153,50414,28.0108,-85.0002,253.50,01MAY2016:02:26:41,01MAY2016:02:48:46,22.08,O,01,03,366,NO TUNA LARVAE CAUGH,0,,,
04,0317,006,B152,50419,27.4930,-84.9930,406.48,01MAY2016:07:51:05,01MAY2016:08:12:33,21.46,O,01,03,323,Katsuwonus pelamis,3,,,
04,0317,006,B152,50419,27.4930,-84.9930,406.48,01MAY2016:07:51:05,01MAY2016:08:12:33,21.46,O,01,03,323,Thunnus spp,0,,,
04,0317,006,B152,50419,27.4930,-84.9930,406.48,01MAY2016:07:51:05,01MAY2016:08:12:33,21.46,O,01,03,323,Thunnus thynnus,0,,,
04,0317,007,B151,50424,27.0095,-85.0025,869.22,01MAY2016:11:59:47,01MAY2016:12:21:01,21.23,O,01,03,322,Katsuwonus pelamis,3,,,
04,0317,007,B151,50424,27.0095,-85.0025,869.22,01MAY2016:11:59:47,01MAY2016:12:21:01,21.23,O,01,03,322,Thunnus spp,0,,,
04,0317,007,B151,50424,27.0095,-85.0025,869.22,01MAY2016:11:59:47,01MAY2016:12:21:01,21.23,O,01,03,322,Thunnus thynnus,0,,,
04,0317,008,B150,50429,26.4863,-85.0088,1830.00,01MAY2016:17:21:30,01MAY2016:17:43:54,22.40,O,01,03,337,NO TUNA LARVAE CAUGH,0,,,
04,0317,009,B149,50434,26.0132,-85.0040,3331.00,01MAY2016:21:28:50,01MAY2016:21:52:21,23.51,O,01,03,380,Katsuwonus pelamis,3,,,
04,0317,009,B149,50434,26.0132,-85.0040,3331.00,01MAY2016:21:28:50,01MAY2016:21:52:21,23.51,O,01,03,380,Thunnus spp,6,,,
04,0317,009,B149,50434,26.0132,-85.0040,3331.00,01MAY2016:21:28:50,01MAY2016:21:52:21,23.51,O,01,03,380,Thunnus thynnus,0,,,
04,0317,010,B147,50439,25.9987,-84.4915,222.52,02MAY2016:02:16:10,02MAY2016:02:37:25,21.25,O,01,03,309,NO TUNA LARVAE CAUGH,0,,,
04,0317,011,B131,50444,26.0120,-84.0050,137.67,02MAY2016:05:27:38,02MAY2016:05:42:08,14.50,O,01,03,214,NO TUNA LARVAE CAUGH,0,,,
04,0317,012,B130,50449,25.5023,-83.9913,140.04,02MAY2016:10:01:13,02MAY2016:10:17:13,16.00,O,01,03,232,NO TUNA LARVAE CAUGH,0,,,
04,0317,013,B129,50454,25.0145,-84.0033,129.72,02MAY2016:13:36:33,02MAY2016:13:50:52,14.31,O,01,03,232,NO TUNA LARVAE CAUGH,0,,,
04,0317,014,B128,50459,24.5085,-84.0052,2029.60,02MAY2016:18:06:54,02MAY2016:18:26:56,20.03,O,01,03,284,Katsuwonus pelamis,0,,,
04,0317,014,B128,50459,24.5085,-84.0052,2029.60,02MAY2016:18:06:54,02MAY2016:18:26:56,20.03,O,01,03,284,Thunnus spp,1,,,
04,0317,014,B128,50459,24.5085,-84.0052,2029.60,02MAY2016:18:06:54,02MAY2016:18:26:56,20.03,O,01,03,284,Thunnus thynnus,0,,,
04,0317,015,B125,50464,24.5105,-83.5092,269.67,02MAY2016:21:05:46,02MAY2016:21:28:43,22.95,O,01,03,335,Katsuwonus pelamis,1,,,
04,0317,015,B125,50464,24.5105,-83.5092,269.67,02MAY2016:21:05:46,02MAY2016:21:28:43,22.95,O,01,03,335,Thunnus spp,22,,,
04,0317,015,B125,50464,24.5105,-83.5092,269.67,02MAY2016:21:05:46,02MAY2016:21:28:43,22.95,O,01,03,335,Thunnus thynnus,0,,,
