VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,001,B172,50396,29.9857,-86.9883,83.11,30APR2016:04:46:27,30APR2016:04:56:29,10.03,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,48,95,100,23.53,21.05,19.68,33.861,36.033,36.213,7,5.9,4.9
04,0317,002,B169,50401,29.5073,-86.5088,212.77,30APR2016:10:20:54,30APR2016:10:30:54,10.00,H,03,09,.,Katsuwonus pelamis,1,,,,2,100,200,206,25.05,20.3,16.86,36.352,36.515,36.267,6.6,4.7,4.2
04,0317,002,B169,50401,29.5073,-86.5088,212.77,30APR2016:10:20:54,30APR2016:10:30:54,10.00,H,03,09,.,Thunnus spp,1,,,,2,100,200,206,25.05,20.3,16.86,36.352,36.515,36.267,6.6,4.7,4.2
04,0317,002,B169,50401,29.5073,-86.5088,212.77,30APR2016:10:20:54,30APR2016:10:30:54,10.00,H,03,09,.,Thunnus thynnus,10,,,,2,100,200,206,25.05,20.3,16.86,36.352,36.515,36.267,6.6,4.7,4.2
04,0317,003,B165,50406,29.1983,-86.0127,200.31,30APR2016:15:17:24,30APR2016:15:27:25,10.01,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,100,200,201,25.54,20.37,17.36,36.43,36.561,36.333,6.6,4.7,4.1
04,0317,004,B160,50411,28.6693,-85.4972,181.69,30APR2016:21:05:34,30APR2016:21:15:35,10.01,H,03,09,.,Katsuwonus pelamis,0,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,004,B160,50411,28.6693,-85.4972,181.69,30APR2016:21:05:34,30APR2016:21:15:35,10.01,H,03,09,.,Thunnus spp,1,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,004,B160,50411,28.6693,-85.4972,181.69,30APR2016:21:05:34,30APR2016:21:15:35,10.01,H,03,09,.,Thunnus thynnus,0,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,005,B153,50416,28.0048,-84.9875,251.14,01MAY2016:02:53:22,01MAY2016:03:03:27,10.08,H,03,09,.,Katsuwonus pelamis,2,,exocitidae 218mm FL removed from samples,,2,102,203,246,26.61,21.91,17.91,36.46,36.424,36.452,6.4,6.6,4.7
04,0317,005,B153,50416,28.0048,-84.9875,251.14,01MAY2016:02:53:22,01MAY2016:03:03:27,10.08,H,03,09,.,Thunnus spp,4,,exocitidae 218mm FL removed from samples,,2,102,203,246,26.61,21.91,17.91,36.46,36.424,36.452,6.4,6.6,4.7
04,0317,005,B153,50416,28.0048,-84.9875,251.14,01MAY2016:02:53:22,01MAY2016:03:03:27,10.08,H,03,09,.,Thunnus thynnus,0,,exocitidae 218mm FL removed from samples,,2,102,203,246,26.61,21.91,17.91,36.46,36.424,36.452,6.4,6.6,4.7
04,0317,006,B152,50421,27.5088,-84.9983,406.63,01MAY2016:07:34:59,01MAY2016:07:45:04,10.08,H,03,09,.,Katsuwonus pelamis,1,,200mm 210mm and 110mm Exocoetidae removed from Neuston,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,006,B152,50421,27.5088,-84.9983,406.63,01MAY2016:07:34:59,01MAY2016:07:45:04,10.08,H,03,09,.,Thunnus spp,1,,200mm 210mm and 110mm Exocoetidae removed from Neuston,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,006,B152,50421,27.5088,-84.9983,406.63,01MAY2016:07:34:59,01MAY2016:07:45:04,10.08,H,03,09,.,Thunnus thynnus,0,,200mm 210mm and 110mm Exocoetidae removed from Neuston,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,007,B151,50426,26.9917,-85.0060,917.05,01MAY2016:12:24:58,01MAY2016:12:35:01,10.05,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,101,202,953,26.5,25.98,22.29,36.315,36.303,36.897,6.5,6.4,4.8
04,0317,008,B150,50431,26.5020,-85.0085,1830.00,01MAY2016:17:07:21,01MAY2016:17:17:27,10.10,H,03,03,.,Katsuwonus pelamis,0,,TWO MONOCANTHIDAE REMOVED FROM SAMPLE 50mm AND 47mm,,2,100,200,3256,26.7,25.76,21.36,36.35,36.28,36.589,6.5,6.4,5.3
04,0317,008,B150,50431,26.5020,-85.0085,1830.00,01MAY2016:17:07:21,01MAY2016:17:17:27,10.10,H,03,03,.,Thunnus spp,1,,TWO MONOCANTHIDAE REMOVED FROM SAMPLE 50mm AND 47mm,,2,100,200,3256,26.7,25.76,21.36,36.35,36.28,36.589,6.5,6.4,5.3
04,0317,008,B150,50431,26.5020,-85.0085,1830.00,01MAY2016:17:07:21,01MAY2016:17:17:27,10.10,H,03,03,.,Thunnus thynnus,0,,TWO MONOCANTHIDAE REMOVED FROM SAMPLE 50mm AND 47mm,,2,100,200,3256,26.7,25.76,21.36,36.35,36.28,36.589,6.5,6.4,5.3
04,0317,009,B149,50436,25.9932,-85.0095,3331.00,01MAY2016:21:54:38,01MAY2016:22:04:37,9.98,H,03,09,.,Katsuwonus pelamis,0,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,009,B149,50436,25.9932,-85.0095,3331.00,01MAY2016:21:54:38,01MAY2016:22:04:37,9.98,H,03,09,.,Thunnus spp,1,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,009,B149,50436,25.9932,-85.0095,3331.00,01MAY2016:21:54:38,01MAY2016:22:04:37,9.98,H,03,09,.,Thunnus thynnus,0,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,010,B147,50441,26.0063,-84.5002,223.44,02MAY2016:02:01:42,02MAY2016:02:11:40,9.96,H,03,09,.,Katsuwonus pelamis,2,,,,2,102,203,224,25.91,20.61,17.53,36.411,36.523,36.36,6.5,5.9,4.3
04,0317,010,B147,50441,26.0063,-84.5002,223.44,02MAY2016:02:01:42,02MAY2016:02:11:40,9.96,H,03,09,.,Thunnus spp,9,,,,2,102,203,224,25.91,20.61,17.53,36.411,36.523,36.36,6.5,5.9,4.3
04,0317,010,B147,50441,26.0063,-84.5002,223.44,02MAY2016:02:01:42,02MAY2016:02:11:40,9.96,H,03,09,.,Thunnus thynnus,0,,,,2,102,203,224,25.91,20.61,17.53,36.411,36.523,36.36,6.5,5.9,4.3
04,0317,011,B131,50446,26.0050,-84.0052,139.89,02MAY2016:05:47:08,02MAY2016:05:57:13,10.08,H,03,09,.,Katsuwonus pelamis,0,,220MM 120MM AND 130 MM EXOCOETIDAE REMOVED FROM NEUSTON,,3,70,140,142,26.94,23.07,20.01,36.483,36.734,36.431,6.4,5.1,5.9
04,0317,011,B131,50446,26.0050,-84.0052,139.89,02MAY2016:05:47:08,02MAY2016:05:57:13,10.08,H,03,09,.,Thunnus spp,1,,220MM 120MM AND 130 MM EXOCOETIDAE REMOVED FROM NEUSTON,,3,70,140,142,26.94,23.07,20.01,36.483,36.734,36.431,6.4,5.1,5.9
