VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS
04,0317,001,B172,50397,29.9697,-86.9938,105.38,30APR2016:05:03:47,30APR2016:05:13:56,10.15,W,01,05,156,NO TUNA LARVAE CAUGH,0,,,
04,0317,002,B169,50402,29.5115,-86.5152,213.02,30APR2016:10:02:37,30APR2016:10:13:44,11.11,W,01,05,177,Katsuwonus pelamis,4,Vial was cracked and sample dried.,,
04,0317,002,B169,50402,29.5115,-86.5152,213.02,30APR2016:10:02:37,30APR2016:10:13:44,11.11,W,01,05,177,Thunnus spp,0,,,
04,0317,002,B169,50402,29.5115,-86.5152,213.02,30APR2016:10:02:37,30APR2016:10:13:44,11.11,W,01,05,177,Thunnus thynnus,6,,,
04,0317,003,B165,50407,29.1903,-86.0077,201.17,30APR2016:15:34:08,30APR2016:15:44:51,10.71,W,01,05,180,Katsuwonus pelamis,0,,,
04,0317,003,B165,50407,29.1903,-86.0077,201.17,30APR2016:15:34:08,30APR2016:15:44:51,10.71,W,01,05,180,Thunnus spp,7,,,
04,0317,003,B165,50407,29.1903,-86.0077,201.17,30APR2016:15:34:08,30APR2016:15:44:51,10.71,W,01,05,180,Thunnus thynnus,0,,,
04,0317,004,B160,50412,28.6825,-85.5022,180.59,30APR2016:20:24:56,30APR2016:20:35:13,10.28,W,01,05,150,Katsuwonus pelamis,0,,,
04,0317,004,B160,50412,28.6825,-85.5022,180.59,30APR2016:20:24:56,30APR2016:20:35:13,10.28,W,01,05,150,Thunnus spp,5,,,
04,0317,004,B160,50412,28.6825,-85.5022,180.59,30APR2016:20:24:56,30APR2016:20:35:13,10.28,W,01,05,150,Thunnus thynnus,0,,,
04,0317,005,B153,50417,27.9947,-84.9805,252.67,01MAY2016:03:12:36,01MAY2016:03:22:37,10.01,W,01,05,178,Katsuwonus pelamis,2,,,
04,0317,005,B153,50417,27.9947,-84.9805,252.67,01MAY2016:03:12:36,01MAY2016:03:22:37,10.01,W,01,05,178,Thunnus spp,1,,,
04,0317,005,B153,50417,27.9947,-84.9805,252.67,01MAY2016:03:12:36,01MAY2016:03:22:37,10.01,W,01,05,178,Thunnus thynnus,0,,,
04,0317,006,B152,50422,27.4880,-84.9967,412.16,01MAY2016:07:10:51,01MAY2016:07:21:07,10.26,W,01,05,194,Katsuwonus pelamis,1,,,
04,0317,006,B152,50422,27.4880,-84.9967,412.16,01MAY2016:07:10:51,01MAY2016:07:21:07,10.26,W,01,05,194,Thunnus spp,0,,,
04,0317,006,B152,50422,27.4880,-84.9967,412.16,01MAY2016:07:10:51,01MAY2016:07:21:07,10.26,W,01,05,194,Thunnus thynnus,1,,,
04,0317,007,B151,50427,26.9997,-85.0113,918.83,01MAY2016:12:54:22,01MAY2016:13:04:56,10.56,W,01,05,182,Katsuwonus pelamis,0,,,
04,0317,007,B151,50427,26.9997,-85.0113,918.83,01MAY2016:12:54:22,01MAY2016:13:04:56,10.56,W,01,05,182,Thunnus spp,1,,,
04,0317,007,B151,50427,26.9997,-85.0113,918.83,01MAY2016:12:54:22,01MAY2016:13:04:56,10.56,W,01,05,182,Thunnus thynnus,0,,,
04,0317,008,B150,50432,26.5123,-85.0073,1830.00,01MAY2016:16:54:09,01MAY2016:17:04:16,10.11,W,01,05,157,NO TUNA LARVAE CAUGH,0,,,
04,0317,009,B149,50437,26.0098,-84.9937,3331.00,01MAY2016:22:27:08,01MAY2016:22:38:08,11.00,W,01,05,178,Katsuwonus pelamis,0,,,
04,0317,009,B149,50437,26.0098,-84.9937,3331.00,01MAY2016:22:27:08,01MAY2016:22:38:08,11.00,W,01,05,178,Thunnus spp,0,,,
04,0317,009,B149,50437,26.0098,-84.9937,3331.00,01MAY2016:22:27:08,01MAY2016:22:38:08,11.00,W,01,05,178,Thunnus thynnus,1,,,
04,0317,010,B147,50442,26.0143,-84.5018,221.37,02MAY2016:01:48:04,02MAY2016:01:58:23,10.31,W,01,05,160,Katsuwonus pelamis,1,,,
04,0317,010,B147,50442,26.0143,-84.5018,221.37,02MAY2016:01:48:04,02MAY2016:01:58:23,10.31,W,01,05,160,Thunnus spp,0,,,
04,0317,010,B147,50442,26.0143,-84.5018,221.37,02MAY2016:01:48:04,02MAY2016:01:58:23,10.31,W,01,05,160,Thunnus thynnus,0,,,
04,0317,011,B131,50447,25.9925,-84.0025,142.03,02MAY2016:06:02:25,02MAY2016:06:12:41,10.26,W,01,05,156,Katsuwonus pelamis,1,,,
04,0317,011,B131,50447,25.9925,-84.0025,142.03,02MAY2016:06:02:25,02MAY2016:06:12:41,10.26,W,01,05,156,Thunnus spp,3,,,
04,0317,011,B131,50447,25.9925,-84.0025,142.03,02MAY2016:06:02:25,02MAY2016:06:12:41,10.26,W,01,05,156,Thunnus thynnus,0,,,
04,0317,012,B130,50452,25.5153,-83.9973,141.05,02MAY2016:09:24:44,02MAY2016:09:34:41,9.95,W,01,05,162,Katsuwonus pelamis,3,,,
04,0317,012,B130,50452,25.5153,-83.9973,141.05,02MAY2016:09:24:44,02MAY2016:09:34:41,9.95,W,01,05,162,Thunnus spp,2,,,
04,0317,012,B130,50452,25.5153,-83.9973,141.05,02MAY2016:09:24:44,02MAY2016:09:34:41,9.95,W,01,05,162,Thunnus thynnus,0,,,
04,0317,013,B129,50457,24.9928,-83.9962,128.14,02MAY2016:14:12:39,02MAY2016:14:23:55,11.26,W,01,05,177,Katsuwonus pelamis,0,,,
04,0317,013,B129,50457,24.9928,-83.9962,128.14,02MAY2016:14:12:39,02MAY2016:14:23:55,11.26,W,01,05,177,Thunnus spp,6,,,
04,0317,013,B129,50457,24.9928,-83.9962,128.14,02MAY2016:14:12:39,02MAY2016:14:23:55,11.26,W,01,05,177,Thunnus thynnus,0,,,
04,0317,014,B128,50462,24.5132,-83.9992,2015.01,02MAY2016:17:22:43,02MAY2016:17:32:40,9.95,W,01,05,164,Katsuwonus pelamis,0,,,
04,0317,014,B128,50462,24.5132,-83.9992,2015.01,02MAY2016:17:22:43,02MAY2016:17:32:40,9.95,W,01,05,164,Thunnus spp,1,,,
04,0317,014,B128,50462,24.5132,-83.9992,2015.01,02MAY2016:17:22:43,02MAY2016:17:32:40,9.95,W,01,05,164,Thunnus thynnus,0,,,
04,0317,015,B125,50467,24.5087,-83.5028,272.04,02MAY2016:22:00:33,02MAY2016:22:10:57,10.40,W,01,05,163,NO TUNA LARVAE CAUGH,0,,,
04,0317,016,B126,50472,24.0153,-83.4937,1057.01,03MAY2016:01:07:21,03MAY2016:01:17:45,10.40,W,01,05,147,NO TUNA LARVAE CAUGH,0,,,
04,0317,017,B127,50477,24.0057,-84.0103,2358.15,03MAY2016:06:32:28,03MAY2016:06:43:27,10.98,W,01,05,168,NO TUNA LARVAE CAUGH,0,,,
04,0317,018,B263,50482,24.5112,-84.5042,3419.90,03MAY2016:11:03:41,03MAY2016:11:14:03,10.36,W,01,05,159,Katsuwonus pelamis,0,,,
04,0317,018,B263,50482,24.5112,-84.5042,3419.90,03MAY2016:11:03:41,03MAY2016:11:14:03,10.36,W,01,05,159,Thunnus spp,1,,,
04,0317,018,B263,50482,24.5112,-84.5042,3419.90,03MAY2016:11:03:41,03MAY2016:11:14:03,10.36,W,01,05,159,Thunnus thynnus,0,,,
04,0317,019,B262,50487,25.0000,-84.4850,1999.10,03MAY2016:15:55:12,03MAY2016:16:06:34,11.36,W,01,05,180,NO TUNA LARVAE CAUGH,0,,,
04,0317,020,B007,50492,24.9920,-85.0035,3349.00,03MAY2016:19:42:22,03MAY2016:19:52:47,10.41,W,01,05,165,Katsuwonus pelamis,1,,,
04,0317,020,B007,50492,24.9920,-85.0035,3349.00,03MAY2016:19:42:22,03MAY2016:19:52:47,10.41,W,01,05,165,Thunnus spp,7,,,
04,0317,020,B007,50492,24.9920,-85.0035,3349.00,03MAY2016:19:42:22,03MAY2016:19:52:47,10.41,W,01,05,165,Thunnus thynnus,0,,,
