VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,001,B172,50397,29.9697,-86.9938,105.38,30APR2016:05:03:47,30APR2016:05:13:56,10.15,W,01,05,156,NO TUNA LARVAE CAUGH,0,,,,2,48,95,100,23.53,21.05,19.68,33.861,36.033,36.213,7,5.9,4.9
04,0317,002,B169,50402,29.5115,-86.5152,213.02,30APR2016:10:02:37,30APR2016:10:13:44,11.11,W,01,05,177,Katsuwonus pelamis,4,Vial was cracked and sample dried.,,,2,100,200,206,25.05,20.3,16.86,36.352,36.515,36.267,6.6,4.7,4.2
04,0317,002,B169,50402,29.5115,-86.5152,213.02,30APR2016:10:02:37,30APR2016:10:13:44,11.11,W,01,05,177,Thunnus spp,0,,,,2,100,200,206,25.05,20.3,16.86,36.352,36.515,36.267,6.6,4.7,4.2
04,0317,002,B169,50402,29.5115,-86.5152,213.02,30APR2016:10:02:37,30APR2016:10:13:44,11.11,W,01,05,177,Thunnus thynnus,6,,,,2,100,200,206,25.05,20.3,16.86,36.352,36.515,36.267,6.6,4.7,4.2
04,0317,003,B165,50407,29.1903,-86.0077,201.17,30APR2016:15:34:08,30APR2016:15:44:51,10.71,W,01,05,180,Katsuwonus pelamis,0,,,,2,100,200,201,25.54,20.37,17.36,36.43,36.561,36.333,6.6,4.7,4.1
04,0317,003,B165,50407,29.1903,-86.0077,201.17,30APR2016:15:34:08,30APR2016:15:44:51,10.71,W,01,05,180,Thunnus spp,7,,,,2,100,200,201,25.54,20.37,17.36,36.43,36.561,36.333,6.6,4.7,4.1
04,0317,003,B165,50407,29.1903,-86.0077,201.17,30APR2016:15:34:08,30APR2016:15:44:51,10.71,W,01,05,180,Thunnus thynnus,0,,,,2,100,200,201,25.54,20.37,17.36,36.43,36.561,36.333,6.6,4.7,4.1
04,0317,004,B160,50412,28.6825,-85.5022,180.59,30APR2016:20:24:56,30APR2016:20:35:13,10.28,W,01,05,150,Katsuwonus pelamis,0,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,004,B160,50412,28.6825,-85.5022,180.59,30APR2016:20:24:56,30APR2016:20:35:13,10.28,W,01,05,150,Thunnus spp,5,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,004,B160,50412,28.6825,-85.5022,180.59,30APR2016:20:24:56,30APR2016:20:35:13,10.28,W,01,05,150,Thunnus thynnus,0,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,005,B153,50417,27.9947,-84.9805,252.67,01MAY2016:03:12:36,01MAY2016:03:22:37,10.01,W,01,05,178,Thunnus spp,1,,,,2,102,203,246,26.61,21.91,17.91,36.46,36.424,36.452,6.4,6.6,4.7
04,0317,005,B153,50417,27.9947,-84.9805,252.67,01MAY2016:03:12:36,01MAY2016:03:22:37,10.01,W,01,05,178,Thunnus thynnus,0,,,,2,102,203,246,26.61,21.91,17.91,36.46,36.424,36.452,6.4,6.6,4.7
04,0317,005,B153,50417,27.9947,-84.9805,252.67,01MAY2016:03:12:36,01MAY2016:03:22:37,10.01,W,01,05,178,Katsuwonus pelamis,2,,,,2,102,203,246,26.61,21.91,17.91,36.46,36.424,36.452,6.4,6.6,4.7
04,0317,006,B152,50422,27.4880,-84.9967,412.16,01MAY2016:07:10:51,01MAY2016:07:21:07,10.26,W,01,05,194,Katsuwonus pelamis,1,,,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,006,B152,50422,27.4880,-84.9967,412.16,01MAY2016:07:10:51,01MAY2016:07:21:07,10.26,W,01,05,194,Thunnus spp,0,,,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,006,B152,50422,27.4880,-84.9967,412.16,01MAY2016:07:10:51,01MAY2016:07:21:07,10.26,W,01,05,194,Thunnus thynnus,1,,,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,007,B151,50427,26.9997,-85.0113,918.83,01MAY2016:12:54:22,01MAY2016:13:04:56,10.56,W,01,05,182,Katsuwonus pelamis,0,,,,2,101,202,953,26.5,25.98,22.29,36.315,36.303,36.897,6.5,6.4,4.8
04,0317,007,B151,50427,26.9997,-85.0113,918.83,01MAY2016:12:54:22,01MAY2016:13:04:56,10.56,W,01,05,182,Thunnus spp,1,,,,2,101,202,953,26.5,25.98,22.29,36.315,36.303,36.897,6.5,6.4,4.8
04,0317,007,B151,50427,26.9997,-85.0113,918.83,01MAY2016:12:54:22,01MAY2016:13:04:56,10.56,W,01,05,182,Thunnus thynnus,0,,,,2,101,202,953,26.5,25.98,22.29,36.315,36.303,36.897,6.5,6.4,4.8
04,0317,008,B150,50432,26.5123,-85.0073,1830.00,01MAY2016:16:54:09,01MAY2016:17:04:16,10.11,W,01,05,157,NO TUNA LARVAE CAUGH,0,,,,2,100,200,3256,26.7,25.76,21.36,36.35,36.28,36.589,6.5,6.4,5.3
04,0317,009,B149,50437,26.0098,-84.9937,3331.00,01MAY2016:22:27:08,01MAY2016:22:38:08,11.00,W,01,05,178,Katsuwonus pelamis,0,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,009,B149,50437,26.0098,-84.9937,3331.00,01MAY2016:22:27:08,01MAY2016:22:38:08,11.00,W,01,05,178,Thunnus spp,0,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,009,B149,50437,26.0098,-84.9937,3331.00,01MAY2016:22:27:08,01MAY2016:22:38:08,11.00,W,01,05,178,Thunnus thynnus,1,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
