VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,001,B172,50394,29.9948,-86.9900,77.20,30APR2016:04:29:23,30APR2016:04:39:22,9.98,O,01,03,147,NO TUNA LARVAE CAUGH,0,,,,2,48,95,100,23.53,21.05,19.68,33.861,36.033,36.213,7,5.9,4.9
04,0317,002,B169,50399,29.5063,-86.4933,207.95,30APR2016:10:36:43,30APR2016:10:59:20,22.61,O,01,03,338,NO TUNA LARVAE CAUGH,0,,,,2,100,200,206,25.05,20.3,16.86,36.352,36.515,36.267,6.6,4.7,4.2
04,0317,003,B165,50404,29.2073,-86.0120,196.58,30APR2016:14:51:32,30APR2016:15:12:20,20.80,O,01,03,304,Katsuwonus pelamis,1,,HIT BOTTOM ON FIRST ATTEMPT,,2,100,200,201,25.54,20.37,17.36,36.43,36.561,36.333,6.6,4.7,4.1
04,0317,003,B165,50404,29.2073,-86.0120,196.58,30APR2016:14:51:32,30APR2016:15:12:20,20.80,O,01,03,304,Thunnus spp,3,,HIT BOTTOM ON FIRST ATTEMPT,,2,100,200,201,25.54,20.37,17.36,36.43,36.561,36.333,6.6,4.7,4.1
04,0317,003,B165,50404,29.2073,-86.0120,196.58,30APR2016:14:51:32,30APR2016:15:12:20,20.80,O,01,03,304,Thunnus thynnus,0,,HIT BOTTOM ON FIRST ATTEMPT,,2,100,200,201,25.54,20.37,17.36,36.43,36.561,36.333,6.6,4.7,4.1
04,0317,004,B160,50409,28.6775,-85.4993,180.77,30APR2016:20:41:47,30APR2016:21:01:22,19.58,O,01,03,285,Katsuwonus pelamis,1,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,004,B160,50409,28.6775,-85.4993,180.77,30APR2016:20:41:47,30APR2016:21:01:22,19.58,O,01,03,285,Thunnus spp,0,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,004,B160,50409,28.6775,-85.4993,180.77,30APR2016:20:41:47,30APR2016:21:01:22,19.58,O,01,03,285,Thunnus thynnus,0,,,,3,90,180,182,26.17,21.84,18.17,36.436,36.552,36.448,6.6,5.9,4.3
04,0317,005,B153,50414,28.0108,-85.0002,253.50,01MAY2016:02:26:41,01MAY2016:02:48:46,22.08,O,01,03,366,NO TUNA LARVAE CAUGH,0,,,,2,102,203,246,26.61,21.91,17.91,36.46,36.424,36.452,6.4,6.6,4.7
04,0317,006,B152,50419,27.4930,-84.9930,406.48,01MAY2016:07:51:05,01MAY2016:08:12:33,21.46,O,01,03,323,Katsuwonus pelamis,3,,,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,006,B152,50419,27.4930,-84.9930,406.48,01MAY2016:07:51:05,01MAY2016:08:12:33,21.46,O,01,03,323,Thunnus spp,0,,,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,006,B152,50419,27.4930,-84.9930,406.48,01MAY2016:07:51:05,01MAY2016:08:12:33,21.46,O,01,03,323,Thunnus thynnus,0,,,,2,101,201,406,26.56,25.9,20.44,36.344,36.506,36.712,6.5,5.8,4.6
04,0317,007,B151,50424,27.0095,-85.0025,869.22,01MAY2016:11:59:47,01MAY2016:12:21:01,21.23,O,01,03,322,Katsuwonus pelamis,3,,,,2,101,202,953,26.5,25.98,22.29,36.315,36.303,36.897,6.5,6.4,4.8
04,0317,007,B151,50424,27.0095,-85.0025,869.22,01MAY2016:11:59:47,01MAY2016:12:21:01,21.23,O,01,03,322,Thunnus spp,0,,,,2,101,202,953,26.5,25.98,22.29,36.315,36.303,36.897,6.5,6.4,4.8
04,0317,007,B151,50424,27.0095,-85.0025,869.22,01MAY2016:11:59:47,01MAY2016:12:21:01,21.23,O,01,03,322,Thunnus thynnus,0,,,,2,101,202,953,26.5,25.98,22.29,36.315,36.303,36.897,6.5,6.4,4.8
04,0317,008,B150,50429,26.4863,-85.0088,1830.00,01MAY2016:17:21:30,01MAY2016:17:43:54,22.40,O,01,03,337,NO TUNA LARVAE CAUGH,0,,,,2,100,200,3256,26.7,25.76,21.36,36.35,36.28,36.589,6.5,6.4,5.3
04,0317,009,B149,50434,26.0132,-85.0040,3331.00,01MAY2016:21:28:50,01MAY2016:21:52:21,23.51,O,01,03,380,Katsuwonus pelamis,3,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,009,B149,50434,26.0132,-85.0040,3331.00,01MAY2016:21:28:50,01MAY2016:21:52:21,23.51,O,01,03,380,Thunnus spp,6,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,009,B149,50434,26.0132,-85.0040,3331.00,01MAY2016:21:28:50,01MAY2016:21:52:21,23.51,O,01,03,380,Thunnus thynnus,0,,,,2,101,201,3331,26.76,25.74,20.61,36.338,36.551,36.717,6.5,5.7,4.7
04,0317,010,B147,50439,25.9987,-84.4915,222.52,02MAY2016:02:16:10,02MAY2016:02:37:25,21.25,O,01,03,309,NO TUNA LARVAE CAUGH,0,,,,2,102,203,224,25.91,20.61,17.53,36.411,36.523,36.36,6.5,5.9,4.3
04,0317,011,B131,50444,26.0120,-84.0050,137.67,02MAY2016:05:27:38,02MAY2016:05:42:08,14.50,O,01,03,214,NO TUNA LARVAE CAUGH,0,,,,3,70,140,142,26.94,23.07,20.01,36.483,36.734,36.431,6.4,5.1,5.9
04,0317,012,B130,50449,25.5023,-83.9913,140.04,02MAY2016:10:01:13,02MAY2016:10:17:13,16.00,O,01,03,232,NO TUNA LARVAE CAUGH,0,,,,2,69,138,139,27.2,23.67,19.61,36.41,36.731,36.617,6.4,5.3,4.7
04,0317,013,B129,50454,25.0145,-84.0033,129.72,02MAY2016:13:36:33,02MAY2016:13:50:52,14.31,O,01,03,232,NO TUNA LARVAE CAUGH,0,,,,3,64,127,128,27.52,26.53,24.14,36.349,36.407,36.722,6.4,6,5.3
04,0317,014,B128,50459,24.5085,-84.0052,2029.60,02MAY2016:18:06:54,02MAY2016:18:26:56,20.03,O,01,03,284,Katsuwonus pelamis,0,,,,2,103,206,2117,28.02,26.6,20.57,36.332,36.351,36.783,6.4,6.2,4.7
04,0317,014,B128,50459,24.5085,-84.0052,2029.60,02MAY2016:18:06:54,02MAY2016:18:26:56,20.03,O,01,03,284,Thunnus spp,1,,,,2,103,206,2117,28.02,26.6,20.57,36.332,36.351,36.783,6.4,6.2,4.7
04,0317,014,B128,50459,24.5085,-84.0052,2029.60,02MAY2016:18:06:54,02MAY2016:18:26:56,20.03,O,01,03,284,Thunnus thynnus,0,,,,2,103,206,2117,28.02,26.6,20.57,36.332,36.351,36.783,6.4,6.2,4.7
04,0317,015,B125,50464,24.5105,-83.5092,269.67,02MAY2016:21:05:46,02MAY2016:21:28:43,22.95,O,01,03,335,Katsuwonus pelamis,1,,,,3,101,201,291,27.87,26.58,11.98,36.336,36.436,35.495,6.3,6.2,3.9
04,0317,015,B125,50464,24.5105,-83.5092,269.67,02MAY2016:21:05:46,02MAY2016:21:28:43,22.95,O,01,03,335,Thunnus spp,22,,,,3,101,201,291,27.87,26.58,11.98,36.336,36.436,35.495,6.3,6.2,3.9
