CRUISE_NAME,STATION,OPERATION,EVENT_DATE,BOTTOM_DEPTH_MAX_WIRE_OUT,DOY,GEAR_1,GEAR_VOLUME_FILTERED_1,ICH_HAUL_FACTOR_1,BLUEFIN_1,PROCESSED_1,GEAR_2,GEAR_VOLUME_FILTERED_2,ICH_HAUL_FACTOR_2,PROCESSED_2,BLUEFIN_2,Abund1,Abund2,Abund3
GU1608,218,BON/CTD,18-Jun-2016 11:11:47,2168,170.462916642427,6B3I,287.567,0.94,0,Poland,6B3Z,334.814,0.81,Narragansett,NaN,0,NaN,0
GU1608,219,BON/CTD,18-Jun-2016 13:28:50,2681,170.553333342075,6B3I,198.823,1.31,0,Poland,6B3Z,231.928,1.12,Narragansett,NaN,0,NaN,0
GU1608,220,BON/CTD,18-Jun-2016 15:44:40,2800,170.643333315849,6B3I,227.515,1.14,0,Poland,6B3Z,263.592,0.99,Narragansett,NaN,0,NaN,0
GU1608,221,BON/CTD,18-Jun-2016 17:58:43,2869,170.732500016689,6B3I,210.623,1.23,0,Poland,6B3Z,249.733,1.04,Narragansett,NaN,0,NaN,0
GU1608,222,BON/CTD,18-Jun-2016 19:09:31,2917,170.795416653156,6B3I,164.07,1.58,0,Poland,6B3Z,202.375,1.28,Narragansett,NaN,0,NaN,0
GU1608,223,BON/CTD,18-Jun-2016 20:18:23,2973,170.840833365917,6B3I,155.26,1.67,0,Poland,6B3Z,181.724,1.43,Narragansett,NaN,0,NaN,0
GU1608,224,BON/CTD,18-Jun-2016 21:32:24,3061,170.888333320618,6B3I,149.683,1.74,0,Poland,6B3Z,175.208,1.48,Narragansett,1,0,1.48,0.74
GU1608,225,BON/CTD,18-Jun-2016 22:52:14,3168,170.938333332539,6B3I,230.991,1.17,0,Poland,6B3Z,265.978,1.02,Narragansett,NaN,0,NaN,0
GU1608,226,BON/CTD,19-Jun-2016 00:36:15,3242,171.015000000596,6B3I,137.398,1.89,0,Poland,6B3Z,156.944,1.66,Narragansett,NaN,0,NaN,0
GU1608,227,BON/CTD,19-Jun-2016 02:48:14,3153,171.103333331645,6B3I,142.005,1.83,0,Poland,6B3Z,163.277,1.59,Narragansett,NaN,0,NaN,0
GU1608,228,BON/CTD,19-Jun-2016 06:45:52,3200,171.268749982119,6B3I,218.14,1.24,0,Poland,6B3Z,247.99,1.09,Narragansett,NaN,0,NaN,0
GU1608,229,BON/CTD,19-Jun-2016 09:37:55,2911,171.390416651964,6B3I,202.056,1.29,3,Poland,6B3Z,230.919,1.13,Narragansett,3,3.87,3.39,3.63
GU1608,230,BON/CTD,19-Jun-2016 12:02:32,2739,171.500833332539,6B3I,162.292,1.73,0,Poland,6B3Z,182.55,1.53,Narragansett,NaN,0,NaN,0
GU1608,231,BON/CTD,19-Jun-2016 14:09:41,2916,171.587083339691,6B3I,153.724,1.69,1,Poland,6B3Z,175.575,1.48,Narragansett,1,1.69,1.48,1.585
GU1608,232,BON/CTD,19-Jun-2016 16:50:07,2937,171.6875,6B3I,190.822,1.36,0,Poland,6B3Z,209.901,1.24,Narragansett,NaN,0,NaN,0
GU1608,233,BON/CTD,19-Jun-2016 18:53:37,3030,171.772083342075,6B3I,213.695,1.22,0,Poland,6B3Z,243.768,1.07,Narragansett,NaN,0,NaN,0
GU1608,234,BON/CTD,19-Jun-2016 20:59:24,2862,171.857916653156,6B3I,204.077,1.27,15,Poland,6B3Z,237.894,1.09,Narragansett,8,19.05,8.72,13.885
GU1608,235,BON/CTD,19-Jun-2016 22:45:04,2721,171.935416698456,6B3I,189.286,1.37,23,Poland,6B3Z,217.702,1.19,Narragansett,20,31.51,23.8,27.655
GU1608,236,BON/CTD,20-Jun-2016 00:22:52,2490,172.009166666307,6B3I,155.179,1.68,17,Poland,6B3Z,179.889,1.45,Narragansett,8,28.56,11.6,20.08
GU1608,237,BON/CTD,20-Jun-2016 01:32:38,2624,172.055000003427,6B3I,146.693,1.77,0,Poland,6B3Z,170.803,1.52,Narragansett,NaN,0,NaN,0
GU1608,238,BON/CTD,20-Jun-2016 02:46:15,2628,172.102499999106,6B3I,163.746,1.59,0,Poland,6B3Z,188.057,1.38,Narragansett,NaN,0,NaN,0
GU1608,239,BON/CTD,20-Jun-2016 04:40:29,2353,172.183333337307,6B3I,218.867,1.19,0,Poland,6B3Z,249.275,1.04,Narragansett,NaN,0,NaN,0
GU1608,240,BON/CTD,20-Jun-2016 05:50:41,2037,172.229166671634,6B3I,170.616,1.52,1,Poland,6B3Z,194.482,1.34,Narragansett,NaN,1.52,NaN,1.52
GU1608,241,BON/CTD,20-Jun-2016 06:57:00,1723,172.273750007153,6B3I,182.821,1.42,0,Poland,6B3Z,206.78,1.26,Narragansett,NaN,0,NaN,0
HB1603,9,BON/CTD,29-Jun-2016 23:14:38,2495,181.964166641235,6B3,228.58,8.88,0,Poland,6B3I,277.596,7.31,No,NaN,0,NaN,0
HB1603,10,BON/CTD,30-Jun-2016 01:18:10,2600,182.049166664481,6B3,313.385,6.48,0,Poland,6B3I,377.818,5.37,No,NaN,0,NaN,0
HB1603,11,BON/CTD,30-Jun-2016 02:53:57,2778,182.105416662991,6B3,305.768,7.19,0,Poland,6B3I,368.861,5.96,No,NaN,0,NaN,0
HB1603,12,BON/CTD,30-Jun-2016 04:53:13,2932,182.188750013709,6B3,481.502,4.22,0,Poland,6B3I,574.544,3.53,No,NaN,0,NaN,0
HB1603,15,BON/CTD,01-Jul-2016 00:23:25,3399,183.009583333507,6B3,270.04,7.48,0,Poland,6B3I,297.793,6.78,No,NaN,0,NaN,0
HB1603,16,BON/CTD,01-Jul-2016 02:25:16,3351,183.09375,6B3,238.867,8.83,1,Poland,6B3I,190.895,11.05,No,0,8.83,0,4.415
HB1603,17,BON/CTD,01-Jul-2016 03:52:34,3290,183.146666660905,6B3,219.236,9.67,0,Poland,6B3I,199.853,10.61,No,NaN,0,NaN,0
HB1603,18,BON/CTD,01-Jul-2016 05:53:28,3202,183.230416670442,6B3,341.496,5.97,0,Poland,6B3I,388.72,5.25,No,NaN,0,NaN,0
HB1603,20,BON/CTD,01-Jul-2016 15:54:39,3829,183.647499978542,6B3,361.912,5.55,0,Poland,6B3I,396.578,5.07,No,NaN,0,NaN,0
HB1603,21,BON/CTD,01-Jul-2016 23:10:16,3046,183.962500035763,6B3,874.667,2.24,0,Poland,6B3I,966.644,2.03,No,NaN,0,NaN,0
HB1603,23,BON/CTD,02-Jul-2016 23:06:33,2162,184.960833311081,6B3,342.124,5.96,0,Poland,6B3I,379.762,5.37,No,NaN,0,NaN,0
HB1603,26,BON/CTD,03-Jul-2016 04:01:13,2752,185.167083337903,6B3,244.913,8.33,0,Poland,6B3I,273.625,7.46,No,NaN,0,NaN,0
HB1603,27,BON/CTD,03-Jul-2016 05:42:37,2928,185.225833341479,6B3,353.353,5.74,0,Poland,6B3I,395.818,5.13,No,NaN,0,NaN,0
HB1603,30,BON/CTD,04-Jul-2016 00:15:59,2382,186.006250000093,6B3,236.04,8.6,0,Poland,6B3I,261.287,7.77,No,NaN,0,NaN,0
HB1603,33,BON/CTD,04-Jul-2016 04:35:54,2808,186.181249991059,6B3,352.489,5.79,0,Poland,6B3I,301.342,6.77,No,NaN,0,NaN,0
HB1603,35,BON/CTD,04-Jul-2016 15:57:46,3000,186.648750007153,6B3,313.935,6.28,0,Poland,6B3I,338.608,5.82,No,NaN,0,NaN,0
HB1603,36,BON/CTD,04-Jul-2016 22:59:26,3529,186.941250026226,6B3,322.729,6.38,1,Poland,6B3I,298.046,6.91,No,NaN,6.38,NaN,6.38
HB1603,37,BON/CTD,05-Jul-2016 02:01:51,3419,187.083750002086,6B3,372.513,5.45,0,Poland,6B3I,405.367,5.01,Yes,NaN,0,NaN,0
HB1603,38,BON/CTD,05-Jul-2016 03:51:42,3326,187.146249994636,6B3,334.665,6.07,0,Poland,6B3I,289.765,7.01,YES,NaN,0,NaN,0
HB1603,42,BON/CTD,06-Jul-2016 15:59:03,4124,188.649583339691,6B3,362.854,5.59,1,Poland,6B3I,396.071,5.13,Yes,0,5.59,0,2.795
HB1603,43,BON/CTD,06-Jul-2016 22:57:45,4708,188.940416634083,6B3,478.676,4.28,0,Poland,6B3I,522.49,3.92,Yes,NaN,0,NaN,0
HB1603,44,BON/CTD,07-Jul-2016 00:41:34,4766,189.017083333805,6B3,308.281,6.58,0,Poland,6B3I,338.355,6,Yes,NaN,0,NaN,0
HB1603,45,BON/CTD,07-Jul-2016 02:35:29,4831,189.097916662693,6B3,321.473,6.25,1,Poland,6B3I,352.805,5.7,YES,NaN,6.25,NaN,6.25
HB1603,49,BON/CTD,07-Jul-2016 15:50:46,4406,189.645833313465,6B3,511.42,3.93,5,Poland,6B3I,558.32,3.6,Yes,NaN,19.65,NaN,19.65
HB1603,50,BON/CTD,07-Jul-2016 23:40:24,3629,189.974999964237,6B3,465.327,4.38,4,Poland,6B3I,510.152,4,Yes,3,17.52,12,14.76
HB1603,51,BON/CTD,08-Jul-2016 01:25:34,3805,190.052083332092,6B3,217.116,9.44,3,Poland,6B3I,241.006,8.51,Yes,1,28.32,8.51,18.415
HB1603,52,BON/CTD,08-Jul-2016 02:34:05,4053,190.097499996424,6B3,262.188,7.82,4,Poland,6B3I,289.343,7.09,Yes,1,31.28,7.09,19.185
HB1603,53,BON/CTD,08-Jul-2016 04:00:37,4170,190.166666671634,6B3,282.133,7.23,3,Poland,6B3I,310.131,6.58,yes,6,21.69,39.48,30.585
HB1603,56,BON/CTD,08-Jul-2016 15:51:05,3000,190.646250009537,6B3,360.499,5.6,0,Poland,6B3I,398.437,5.07,yes,NaN,0,NaN,0
HB1603,70,BON/CTD,13-Jul-2016 15:54:49,2200,195.647499978542,6B3,314.092,6.46,1,Poland,6B3I,345.96,5.87,yes,1,6.46,5.87,6.165
HB1603,86,BON/CTD,21-Jul-2016 22:57:11,1384,203.940416634083,6B3,440.435,4.59,0,Poland,6B3I,486.998,4.15,No,NaN,0,NaN,0
