"","Cruise","Station","Operation","SamplingDepth","BottomDepth","Latitude","Longitude","Date","Day","Month","Nbluefin","Vol_filtered","Abundance","Density"
"1","GU1608",218,"BON/CTD",27,2168,39.6,-71.2983,"18-JUN-16 11.11.47.000000000 AM",18,"JUN",NA,NA,0,NA
"2","GU1608",219,"BON/CTD",26,2681,39.265,-71.2983,"18-JUN-16 01.28.50.000000000 PM",18,"JUN",NA,NA,0,NA
"3","GU1608",220,"BON/CTD",26,2800,38.9333,-71.3033,"18-JUN-16 03.44.40.000000000 PM",18,"JUN",NA,NA,0,NA
"4","GU1608",221,"BON/CTD",26,2869,38.6,-71.305,"18-JUN-16 05.58.43.000000000 PM",18,"JUN",NA,NA,0,NA
"5","GU1608",222,"BON/CTD",26,2917,38.46,-71.345,"18-JUN-16 07.09.31.000000000 PM",18,"JUN",NA,NA,0,NA
"6","GU1608",223,"BON/CTD",26,2973,38.325,-71.38,"18-JUN-16 08.18.23.000000000 PM",18,"JUN",NA,NA,0,NA
"7","GU1608",224,"BON/CTD",26,3061,38.18,-71.4167,"18-JUN-16 09.32.24.000000000 PM",18,"JUN",1,324.891,0.80026839770877,0.307795537580296
"8","GU1608",225,"BON/CTD",27,3168,38.04,-71.4483,"18-JUN-16 10.52.14.000000000 PM",18,"JUN",NA,NA,0,NA
"9","GU1608",226,"BON/CTD",26,3242,37.8983,-71.505,"19-JUN-16 12.36.15.000000000 AM",19,"JUN",NA,NA,0,NA
"10","GU1608",227,"BON/CTD",26,3153,37.885,-71.7117,"19-JUN-16 02.48.14.000000000 AM",19,"JUN",NA,NA,0,NA
"11","GU1608",228,"BON/CTD",27,3200,37.86,-72.14,"19-JUN-16 06.45.52.000000000 AM",19,"JUN",NA,NA,0,NA
"12","GU1608",229,"BON/CTD",26,2911,37.8267,-72.5717,"19-JUN-16 09.37.55.000000000 AM",19,"JUN",6,432.975,3.60297938680062,1.38576130261562
"13","GU1608",230,"BON/CTD",28,2739,37.8,-73,"19-JUN-16 12.02.32.000000000 PM",19,"JUN",NA,NA,0,NA
"14","GU1608",231,"BON/CTD",26,2916,37.4817,-73.1167,"19-JUN-16 02.09.41.000000000 PM",19,"JUN",2,329.299,1.57911199244456,0.607350766324829
"15","GU1608",232,"BON/CTD",26,2937,37.1617,-73.24,"19-JUN-16 04.50.07.000000000 PM",19,"JUN",NA,NA,0,NA
"16","GU1608",233,"BON/CTD",26,3030,37.0017,-73.3017,"19-JUN-16 06.53.37.000000000 PM",19,"JUN",NA,NA,0,NA
"17","GU1608",234,"BON/CTD",26,2862,37,-73.5,"19-JUN-16 08.59.24.000000000 PM",19,"JUN",23,441.971,13.5302994992884,5.20396134588016
"18","GU1608",235,"BON/CTD",26,2721,37.0017,-73.6983,"19-JUN-16 10.45.04.000000000 PM",19,"JUN",43,406.988,27.4700973984491,10.5654220763266
"19","GU1608",236,"BON/CTD",26,2490,37.0017,-73.8983,"20-JUN-16 12.22.52.000000000 AM",20,"JUN",25,335.068,19.3990473575513,7.46117206059666
"20","GU1608",237,"BON/CTD",26,2624,36.8833,-73.93,"20-JUN-16 01.32.38.000000000 AM",20,"JUN",NA,NA,0,NA
"21","GU1608",238,"BON/CTD",26,2628,36.7683,-73.96,"20-JUN-16 02.46.15.000000000 AM",20,"JUN",NA,NA,0,NA
"22","GU1608",239,"BON/CTD",26,2353,36.65,-74.1517,"20-JUN-16 04.40.29.000000000 AM",20,"JUN",NA,NA,0,NA
"23","GU1608",240,"BON/CTD",26,2037,36.6483,-74.3017,"20-JUN-16 05.50.41.000000000 AM",20,"JUN",1,170.616,1.52388990481549,0.586111501852112
"24","GU1608",241,"BON/CTD",26,1723,36.6483,-74.4517,"20-JUN-16 06.57.00.000000000 AM",20,"JUN",NA,NA,0,NA
"28","HB1603",9,"BON/CTD",203,2495,38.9483,-71.7283,"29-JUN-16 11.14.38.000000000 PM",29,"JUN",NA,NA,0,NA
"29","HB1603",10,"BON/CTD",203,2600,38.95,-71.52,"30-JUN-16 01.18.10.000000000 AM",30,"JUN",NA,NA,0,NA
"30","HB1603",11,"BON/CTD",220,2778,38.9233,-71.305,"30-JUN-16 02.53.57.000000000 AM",30,"JUN",NA,NA,0,NA
"31","HB1603",12,"BON/CTD",203,2932,38.9583,-71.0983,"30-JUN-16 04.53.13.000000000 AM",30,"JUN",NA,NA,0,NA
"33","HB1603",15,"BON/CTD",202,3399,37.405,-71.85,"01-JUL-16 12.23.25.000000000 AM",1,"JUL",NA,NA,0,NA
"34","HB1603",16,"BON/CTD",211,3351,37.4133,-71.905,"01-JUL-16 02.25.16.000000000 AM",1,"JUL",1,429.762,4.90969420283785,0.232686929044448
"35","HB1603",17,"BON/CTD",212,3290,37.5483,-71.855,"01-JUL-16 03.52.34.000000000 AM",1,"JUL",NA,NA,0,NA
"36","HB1603",18,"BON/CTD",204,3202,37.6867,-71.8517,"01-JUL-16 05.53.28.000000000 AM",1,"JUL",NA,NA,0,NA
"37","HB1603",20,"BON/CTD",201,3829,36.6333,-72.0967,"01-JUL-16 03.54.39.000000000 PM",1,"JUL",NA,NA,0,NA
"38","HB1603",21,"BON/CTD",196,3046,37.29,-72.9717,"01-JUL-16 11.10.16.000000000 PM",1,"JUL",NA,NA,0,NA
"40","HB1603",23,"BON/CTD",204,2162,38.615,-72.8383,"02-JUL-16 11.06.33.000000000 PM",2,"JUL",NA,NA,0,NA
"41","HB1603",26,"BON/CTD",204,2752,38.4067,-72.645,"03-JUL-16 04.01.13.000000000 AM",3,"JUL",NA,NA,0,NA
"42","HB1603",27,"BON/CTD",203,2928,38.3217,-72.5267,"03-JUL-16 05.42.37.000000000 AM",3,"JUL",NA,NA,0,NA
"44","HB1603",30,"BON/CTD",203,2382,39.215,-71.67,"04-JUL-16 12.15.59.000000000 AM",4,"JUL",NA,NA,0,NA
"45","HB1603",33,"BON/CTD",204,2808,39.0483,-71.3467,"04-JUL-16 04.35.54.000000000 AM",4,"JUL",NA,NA,0,NA
"46","HB1603",35,"BON/CTD",197,3000,38.74,-70.6833,"04-JUL-16 03.57.46.000000000 PM",4,"JUL",NA,NA,0,NA
"47","HB1603",36,"BON/CTD",206,3529,38.3833,-69.875,"04-JUL-16 10.59.26.000000000 PM",4,"JUL",1,322.729,6.38306442866926,0.309857496537343
"48","HB1603",37,"BON/CTD",203,3419,38.4383,-70.0817,"05-JUL-16 02.01.51.000000000 AM",5,"JUL",NA,NA,0,NA
"49","HB1603",38,"BON/CTD",203,3326,38.485,-70.1683,"05-JUL-16 03.51.42.000000000 AM",5,"JUL",NA,NA,0,NA
"50","HB1603",42,"BON/CTD",203,4124,37.8367,-68.9317,"06-JUL-16 03.59.03.000000000 PM",6,"JUL",1,758.925,2.67483611687584,0.131765325954475
"51","HB1603",43,"BON/CTD",205,4708,37.6683,-68.24,"06-JUL-16 10.57.45.000000000 PM",6,"JUL",NA,NA,0,NA
"52","HB1603",44,"BON/CTD",203,4766,37.5,-68.2983,"07-JUL-16 12.41.34.000000000 AM",7,"JUL",NA,NA,0,NA
"53","HB1603",45,"BON/CTD",201,4831,37.3567,-68.2767,"07-JUL-16 02.35.29.000000000 AM",7,"JUL",1,674.278,2.98096630766538,0.14830678147589
"54","HB1603",49,"BON/CTD",201,4406,38.2567,-68.11,"07-JUL-16 03.50.46.000000000 PM",7,"JUL",5,1069.74,9.3948062145942,0.467403294258418
"55","HB1603",50,"BON/CTD",204,3629,39.0667,-67.9033,"07-JUL-16 11.40.24.000000000 PM",7,"JUL",7,975.479,14.6389619868803,0.717596175827465
"56","HB1603",51,"BON/CTD",205,3805,38.905,-67.9433,"08-JUL-16 01.25.34.000000000 AM",8,"JUL",4,458.122,17.8991622318946,0.873129864970466
"57","HB1603",52,"BON/CTD",205,4053,38.775,-67.9783,"08-JUL-16 02.34.05.000000000 AM",8,"JUL",5,551.531,18.5846307823132,0.906567355234792
"58","HB1603",53,"BON/CTD",204,4170,38.6517,-68.0033,"08-JUL-16 04.00.37.000000000 AM",8,"JUL",9,592.264,30.9996893277322,1.51959261410452
"59","HB1603",56,"BON/CTD",202,3000,39.6233,-67.7683,"08-JUL-16 03.51.05.000000000 PM",8,"JUL",NA,NA,0,NA
"68","HB1603",70,"BON/CTD",203,2200,39.38,-71.6883,"13-JUL-16 03.54.49.000000000 PM",13,"JUL",2,660.052,6.15103052486774,0.30300642979644
"76","HB1603",86,"BON/CTD",202,1384,40.2667,-67.4983,"21-JUL-16 10.57.11.000000000 PM",21,"JUL",NA,NA,0,NA
"77","HB1603",88,"BON/CTD",204,2897,39.9967,-67.6533,"22-JUL-16 08.24.59.000000000 AM",22,"JUL",NA,NA,0,NA
"78","HB1603",89,"BON/CTD",202,4200,39.6967,-66.6117,"22-JUL-16 03.47.33.000000000 PM",22,"JUL",NA,NA,0,NA
"79","HB1603",90,"BON/CTD",212,4437,39.3933,-65.6217,"22-JUL-16 11.05.04.000000000 PM",22,"JUL",NA,NA,0,NA
"80","HB1603",95,"BON/CTD",201,1800,40.15,-67.2167,"24-JUL-16 10.04.24.000000000 AM",24,"JUL",NA,NA,0,NA
"82","HB1603",99,"BON/CTD",204,2500,40.7383,-66.3017,"25-JUL-16 08.56.11.000000000 AM",25,"JUL",NA,NA,0,NA
"84","HB1603",101,"BON/CTD",201,1491,41.9517,-65.42,"25-JUL-16 10.55.41.000000000 PM",25,"JUL",NA,NA,0,NA
"85","HB1603",107,"BON/CTD",202,2726,41.6433,-64.965,"27-JUL-16 03.46.18.000000000 PM",27,"JUL",NA,NA,0,NA
"86","HB1603",110,"BON/CTD",202,3639,40.9233,-65.05,"28-JUL-16 09.15.45.000000000 AM",28,"JUL",NA,NA,0,NA
"87","HB1603",111,"BON/CTD",202,4600,40.1133,-65.1267,"28-JUL-16 03.49.23.000000000 PM",28,"JUL",NA,NA,0,NA
"88","HB1603",113,"BON/CTD",204,4846,39.3017,-65.205,"29-JUL-16 08.04.35.000000000 AM",29,"JUL",NA,NA,0,NA
"89","HB1603",115,"BON/CTD",204,2209,40.0717,-67.98,"30-JUL-16 08.59.02.000000000 AM",30,"JUL",NA,NA,0,NA
"90","HB1603",116,"BON/CTD",202,3000,39.36,-68.5167,"30-JUL-16 03.44.32.000000000 PM",30,"JUL",NA,NA,0,NA
"91","HB1603",117,"BON/CTD",204,3278,38.9467,-69.185,"30-JUL-16 11.01.41.000000000 PM",30,"JUL",NA,NA,0,NA
"92","HB1603",120,"BON/CTD",203,2671,39.3283,-70.1633,"31-JUL-16 03.45.33.000000000 PM",31,"JUL",NA,NA,0,NA
"93","HB1603",121,"BON/CTD",203,2450,39.5717,-70.99,"31-JUL-16 10.45.20.000000000 PM",31,"JUL",6,804.579,15.1383518585496,0.745731618647765
"95","HB1603",125,"BON/CTD",203,2058,39.7333,-70.1267,"01-AUG-16 10.47.03.000000000 PM",1,"AUG",1,350.055,5.79908871463056,0.285669394809387
"97","HB1603",130,"BON/CTD",204,1703,39.9433,-68.8217,"02-AUG-16 10.57.30.000000000 PM",2,"AUG",NA,NA,0,NA
"100","HB1603",138,"BON/CTD",192,1400,40.2317,-67.6683,"11-AUG-16 03.51.18.000000000 PM",11,"AUG",NA,NA,0,NA
